date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,4.75,5.21,4.95,4.7,0.0,0.22,4.65,4.82,4.92,4.968,0.0,199836.18,523510.03,0.0
2017-12-08,4.76,4.76,4.73,4.55,0.0,-0.03,-0.63,4.858,4.94,4.955,53245.07,255149.36,545950.35,0.0
2017-12-01,4.79,4.84,4.76,4.7,0.0,-0.05,-1.04,4.844,5.008,4.962,125312.07,364111.85,568393.74,0.0
2017-11-24,4.75,4.94,4.81,4.63,0.0,-0.04,-0.82,4.874,5.059,4.97,201797.62,483487.78,596935.42,0.0
2017-11-17,5.12,5.34,4.85,4.7,0.0,-0.29,-5.64,4.922,5.1,4.979,281051.83,722887.81,625544.99,0.0
2017-11-10,4.68,5.26,5.14,4.6,266225.34,0.48,10.3,5.02,5.107,4.98,399672.35,776559.73,666242.21,2.26
2017-11-03,4.91,4.92,4.66,4.62,360335.0,-0.25,-5.09,5.022,5.079,4.987,457053.65,806262.85,673081.02,3.06
2017-10-27,5.04,5.07,4.91,4.89,382427.78,-0.14,-2.77,5.172,5.103,5.02,602911.62,833547.76,685765.89,3.25
2017-10-20,5.34,5.34,5.05,4.99,396271.03,-0.29,-5.43,5.244,5.08,5.038,765177.94,843011.71,704964.23,3.37
2017-10-13,5.2,5.4,5.34,5.18,593102.62,0.19,3.69,5.278,5.063,5.065,1164723.79,853724.25,716523.36,5.04
2017-09-29,5.38,5.41,5.15,5.11,553131.81,-0.26,-4.81,5.194,5.015,5.063,1153447.11,847183.87,714731.86,4.7
2017-09-22,5.27,5.66,5.41,5.18,1089624.88,0.14,2.66,5.136,4.969,5.063,1155472.05,836751.33,720566.96,9.26
2017-09-15,5.24,5.45,5.27,5.17,1193759.38,0.05,0.96,5.034,4.916,5.076,1064183.89,772675.63,703753.84,10.15
2017-09-08,4.91,5.5,5.22,4.89,2394000.25,0.3,6.1,4.916,4.881,5.141,920845.48,710383.06,668337.34,20.35
2017-09-01,4.87,4.93,4.92,4.83,536719.25,0.06,1.24,4.848,4.857,5.223,542724.71,528202.17,570461.86,4.56
2017-08-25,4.92,4.93,4.86,4.77,563256.5,-0.04,-0.82,4.836,4.852,5.333,540920.63,555924.68,572244.53,4.79
2017-08-18,4.67,4.97,4.9,4.66,633184.06,0.22,4.7,4.802,4.894,5.456,518030.61,539899.2,570604.3,5.38
2017-08-11,4.88,4.92,4.68,4.64,477067.34,-0.2,-4.1,4.798,4.937,5.565,481167.36,537984.02,572361.25,4.06
2017-08-04,4.85,4.97,4.88,4.83,503396.38,0.02,0.41,4.846,4.995,5.7,499920.63,566916.75,589402.98,4.28
2017-07-28,4.68,4.95,4.86,4.66,527698.88,0.17,3.62,4.866,5.066,5.821,513679.63,579322.47,588857.76,4.49
2017-07-21,4.86,4.87,4.69,4.48,448806.41,-0.19,-3.89,4.868,5.11,5.941,570928.73,582279.84,594191.54,3.82
