date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,5.91,5.93,5.79,5.76,0.0,-0.13,-2.2,5.92,6.286,6.422,0.0,596545.59,1179844.72,0.0
2017-12-08,6.07,6.07,5.92,5.74,0.0,-0.12,-1.99,6.034,6.431,6.446,106018.95,842441.37,1255586.33,0.0
2017-12-01,5.87,6.13,6.04,5.81,0.0,0.17,2.9,6.128,6.52,6.458,323667.2,986228.04,1336196.51,0.0
2017-11-24,6.0,6.04,5.87,5.8,0.0,-0.11,-1.84,6.272,6.591,6.475,513508.21,1255758.64,1431698.48,0.0
2017-11-17,6.35,6.48,5.98,5.96,0.0,-0.38,-5.97,6.442,6.673,6.475,803466.76,1458217.44,1470962.08,0.0
2017-11-10,6.41,6.51,6.36,6.28,530094.75,-0.03,-0.47,6.652,6.723,6.459,1193091.19,1601089.52,1502529.52,5.52
2017-11-03,6.77,6.83,6.39,6.32,1088241.25,-0.37,-5.47,6.828,6.719,6.43,1578863.79,1651104.65,1504393.05,11.33
2017-10-27,6.72,6.89,6.76,6.63,949205.06,0.04,0.59,6.912,6.706,6.397,1648788.89,1632104.54,1481008.14,9.88
2017-10-20,7.07,7.15,6.72,6.56,1449792.75,-0.31,-4.41,6.91,6.652,6.34,1998009.07,1695052.57,1451566.21,15.1
2017-10-13,7.33,7.36,7.03,6.96,1948122.12,-0.21,-2.9,6.904,6.622,6.284,2112968.12,1795553.84,1403855.24,20.29
2017-09-29,6.88,7.25,7.24,6.68,2458957.75,0.43,6.31,6.794,6.558,6.219,2009087.85,1763143.84,1349284.62,25.61
2017-09-22,6.74,6.95,6.81,6.63,1437866.75,0.06,0.89,6.61,6.461,6.133,1723345.51,1668731.29,1255095.88,14.97
2017-09-15,6.74,7.12,6.75,6.7,2695306.0,0.06,0.9,6.5,6.396,6.084,1615420.19,1686164.98,1205675.38,28.07
2017-09-08,6.54,6.72,6.69,6.43,2024588.0,0.21,3.24,6.394,6.359,6.044,1392096.06,1607638.32,1112510.92,21.08
2017-09-01,6.34,6.53,6.48,6.25,1428720.75,0.16,2.53,6.34,6.277,6.019,1478139.56,1483706.72,1043271.51,14.88
2017-08-25,6.26,6.44,6.32,6.13,1030246.06,0.06,0.96,6.322,6.194,6.016,1517199.84,1403969.53,1026101.77,10.73
2017-08-18,6.2,6.34,6.26,6.13,898240.12,0.04,0.64,6.312,6.14,6.024,1614117.07,1357681.45,1001098.5,9.35
2017-08-11,6.42,6.56,6.22,6.2,1578685.38,-0.2,-3.12,6.292,6.088,6.028,1756909.77,1329911.74,991047.71,16.44
2017-08-04,6.38,6.7,6.42,6.35,2454805.5,0.03,0.47,6.324,6.028,6.044,1823180.57,1208079.86,950375.55,25.56
2017-07-28,6.25,6.42,6.39,6.06,1624022.12,0.12,1.91,6.214,5.945,6.058,1489273.87,1012156.63,863646.53,16.91
2017-07-21,6.12,6.32,6.27,5.82,1514832.25,0.11,1.79,6.066,5.879,6.08,1290739.23,935425.4,838886.72,15.77
2017-07-14,6.38,6.48,6.16,6.04,1612203.62,-0.22,-3.45,5.968,5.805,6.11,1101245.83,841460.46,824071.55,16.79
2017-07-07,5.9,6.42,6.38,5.89,1910039.38,0.51,8.69,5.884,5.771,6.152,902913.7,725185.78,825941.81,19.89
2017-06-30,5.65,5.92,5.87,5.62,785272.0,0.22,3.89,5.732,5.729,6.166,592979.14,617383.52,780115.08,8.18
2017-06-23,5.79,5.92,5.65,5.55,631348.88,-0.13,-2.25,5.676,5.76,6.215,535039.38,602836.3,809591.2,6.57
2017-06-16,5.73,5.85,5.78,5.7,567365.25,0.04,0.7,5.692,5.837,6.267,580111.57,648234.02,786195.27,5.91
2017-06-09,5.63,5.82,5.74,5.61,620543.0,0.12,2.13,5.642,5.908,6.311,581675.09,644515.55,808193.8,6.46
2017-06-02,5.65,5.7,5.62,5.42,360366.59,0.03,0.54,5.658,5.968,6.329,547457.86,652183.68,832036.97,3.75
2017-05-26,5.72,5.76,5.59,5.41,495573.19,-0.14,-2.44,5.726,6.059,6.378,641787.9,692671.24,848984.14,5.16
2017-05-19,5.54,5.98,5.73,5.54,856709.81,0.2,3.62,5.844,6.17,6.434,670633.22,715136.43,845225.71,8.92
2017-05-12,5.84,5.85,5.53,5.4,575182.88,-0.29,-4.98,5.982,6.281,6.481,716356.46,742348.05,829828.11,5.99
2017-05-05,5.97,5.97,5.82,5.77,449456.81,-0.14,-2.35,6.174,6.415,6.533,707356.0,806682.65,830248.19,4.68
2017-04-28,6.2,6.2,5.96,5.75,832016.81,-0.22,-3.56,6.278,6.532,6.578,756909.5,926697.84,854311.43,8.66
2017-04-21,6.42,6.44,6.18,6.08,639799.81,-0.24,-3.74,6.392,6.603,6.632,743554.57,942846.63,851907.56,6.66
2017-04-14,6.5,6.78,6.42,6.35,1085326.0,-0.07,-1.08,6.496,6.67,6.68,759639.64,1016346.09,904622.98,11.3
2017-04-07,6.34,6.65,6.49,6.28,530180.56,0.15,2.37,6.58,6.696,6.727,768339.64,924156.53,905050.27,5.52
2017-03-31,6.51,6.66,6.34,6.26,697224.31,-0.19,-2.91,6.656,6.714,6.773,906009.3,971872.05,962271.28,7.26
2017-03-24,6.71,6.74,6.53,6.43,765242.19,-0.17,-2.54,6.786,6.689,6.826,1096486.19,1011890.26,983231.39,7.97
2017-03-17,6.84,6.88,6.7,6.69,720225.12,-0.14,-2.05,6.814,6.696,6.862,1142138.69,1005297.05,961761.4,7.5
2017-03-10,6.9,7.12,6.84,6.82,1128826.0,-0.03,-0.44,6.844,6.697,6.89,1273052.54,975314.99,995615.25,11.75
2017-03-03,6.97,7.08,6.87,6.76,1218528.88,-0.12,-1.72,6.812,6.681,6.911,1079973.42,917308.18,982778.93,12.69
2017-02-24,6.66,7.29,6.99,6.65,1649608.75,0.32,4.8,6.772,6.651,6.933,1037734.8,853813.73,970799.66,17.18
2017-02-17,6.87,6.95,6.67,6.65,993504.69,-0.18,-2.63,6.592,6.624,6.936,927294.32,781925.03,921063.13,10.35
