date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,12.43,12.62,12.55,12.2,0.0,0.13,1.05,12.406,13.025,13.525,0.0,39007.42,106595.15,0.0
2017-12-08,12.58,12.63,12.42,11.99,0.0,-0.16,-1.27,12.524,13.194,13.613,5619.29,51989.16,118585.3,0.0
2017-12-01,12.48,13.29,12.58,11.56,0.0,0.4,3.28,12.606,13.406,13.741,20728.82,86276.07,133066.57,0.0
2017-11-24,12.25,12.6,12.18,11.81,0.0,-0.12,-0.98,12.856,13.711,13.802,31722.62,113082.23,138003.07,0.0
2017-11-17,13.15,13.26,12.3,12.03,0.0,-0.84,-6.39,13.176,13.894,13.874,49558.65,130648.59,143763.69,0.0
2017-11-10,12.83,13.32,13.14,12.75,28096.43,0.31,2.42,13.644,14.071,13.922,78014.84,145698.95,151167.69,1.11
2017-11-03,13.74,13.74,12.83,12.63,75547.65,-1.0,-7.23,13.864,14.128,13.945,98359.03,156158.15,155921.5,2.97
2017-10-27,13.84,14.1,13.83,13.6,54969.01,0.05,0.36,14.206,14.247,13.988,151823.33,162491.71,158788.7,2.16
2017-10-20,14.53,14.82,13.78,13.56,89180.15,-0.86,-5.87,14.566,14.159,13.923,194441.85,165616.0,159237.86,3.51
2017-10-13,14.37,14.99,14.64,14.22,142280.94,0.4,2.81,14.612,14.126,13.912,211738.53,170179.65,160001.8,5.6
2017-09-29,14.61,14.78,14.24,14.15,129817.38,-0.3,-2.06,14.498,14.024,13.872,213383.07,174182.88,157552.77,5.11
2017-09-22,15.39,15.55,14.54,14.39,342869.16,-1.09,-6.97,14.392,14.032,13.837,213957.27,185181.44,156334.3,13.5
2017-09-15,13.95,15.63,15.63,13.84,268061.62,1.62,11.56,14.288,14.076,13.833,173160.1,179857.06,144406.85,10.55
2017-09-08,14.05,14.37,14.01,13.83,175663.53,-0.06,-0.43,13.752,13.892,13.751,136790.16,162923.91,139667.19,6.92
2017-09-01,13.7,14.15,14.07,13.68,150503.64,0.36,2.63,13.64,13.853,13.81,128620.78,156878.8,139831.98,5.92
2017-08-25,14.25,14.25,13.71,13.58,132688.38,-0.31,-2.21,13.55,13.773,13.972,134982.69,156636.42,145863.57,5.22
2017-08-18,12.9,14.3,14.02,12.9,138883.34,1.07,8.26,13.672,13.762,14.178,156405.62,155684.85,144995.33,5.47
2017-08-11,13.45,13.59,12.95,12.91,86211.9,-0.5,-3.72,13.864,13.728,14.347,186554.02,155085.68,159580.38,3.39
2017-08-04,13.5,13.62,13.45,13.09,134816.66,-0.17,-1.25,14.032,13.686,14.592,189057.67,152859.71,165613.0,5.31
2017-07-28,14.26,14.69,13.62,13.61,182313.17,-0.7,-4.89,14.066,13.698,14.858,185136.82,149823.95,173707.03,7.18
2017-07-21,14.96,14.96,14.32,13.05,239803.03,-0.66,-4.41,13.996,13.719,15.106,178290.15,140922.66,178629.08,9.44
2017-07-14,13.64,14.99,14.98,13.64,289625.34,1.19,8.63,13.852,13.641,15.298,154964.08,127487.16,181255.32,11.4
2017-07-07,13.57,13.95,13.79,13.53,98730.13,0.17,1.25,13.592,13.589,15.469,123617.33,108956.63,188702.61,3.89
2017-06-30,13.23,13.98,13.62,13.1,115212.41,0.35,2.64,13.34,13.609,15.661,116661.76,116410.46,201903.22,4.54
2017-06-23,13.72,14.47,13.27,13.0,148079.86,-0.33,-2.43,13.33,13.767,15.874,114511.09,122785.16,217123.76,5.83
2017-06-16,13.43,13.83,13.6,13.01,123172.68,-0.08,-0.58,13.442,14.171,16.061,103555.16,135090.71,211428.17,4.85
2017-06-09,12.66,14.08,13.68,12.43,132891.58,1.15,9.18,13.43,14.594,16.228,100010.23,134305.81,216301.14,5.23
2017-06-02,13.61,13.74,12.53,11.86,63952.27,-1.04,-7.66,13.586,14.965,16.412,94295.94,164075.08,230051.67,2.52
2017-05-26,13.88,13.88,13.57,12.73,104459.05,-0.26,-1.88,13.878,15.498,16.69,116159.16,178366.29,263644.92,4.11
