date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,12.12,12.12,11.77,11.55,0.0,-0.19,-1.59,11.846,11.938,11.47,0.0,40763.4,75055.19,0.0
2017-12-08,11.92,12.15,11.96,11.3,0.0,-0.07,-0.58,11.848,11.958,11.374,4401.99,50373.29,79875.67,0.0
2017-12-01,11.26,12.37,12.03,11.23,0.0,0.75,6.65,11.784,11.92,11.291,20517.09,61734.02,84098.55,0.0
2017-11-24,12.7,12.7,11.28,11.13,0.0,-0.91,-7.46,11.864,11.825,11.244,32526.87,70689.02,88214.18,0.0
2017-11-17,11.66,12.72,12.19,11.45,0.0,0.41,3.48,12.038,11.814,11.232,49482.16,85204.73,91769.02,0.0
2017-11-10,11.53,11.96,11.78,11.41,22009.96,0.14,1.2,12.03,11.688,11.177,81526.8,92454.99,96932.34,1.35
2017-11-03,12.44,12.65,11.64,11.3,80575.48,-0.79,-6.36,12.068,11.563,11.144,96344.59,96314.83,100856.05,4.95
2017-10-27,12.13,12.43,12.43,11.89,60048.9,0.28,2.31,12.056,11.467,11.106,102950.95,96838.24,100664.45,3.69
2017-10-20,12.37,12.57,12.15,11.5,84776.48,0.0,0.0,11.786,11.257,11.004,108851.18,113625.4,100373.97,5.21
2017-10-13,12.01,12.99,12.15,11.85,160223.16,0.18,1.5,11.59,11.203,10.943,120927.3,118831.69,100263.41,9.84
2017-09-29,11.59,12.25,11.97,11.13,96098.92,0.39,3.37,11.346,11.001,10.931,103383.19,109346.97,96786.49,5.9
2017-09-22,11.06,11.7,11.58,11.01,113607.27,0.5,4.51,11.058,10.789,10.902,96285.07,109378.05,96253.68,6.98
2017-09-15,11.12,11.44,11.08,10.9,89550.07,-0.09,-0.81,10.878,10.662,10.915,90725.54,106463.08,94120.3,5.5
2017-09-08,10.9,11.5,11.17,10.87,145157.08,0.24,2.2,10.728,10.663,10.954,118399.63,105739.34,94593.04,8.92
2017-09-01,10.58,10.96,10.93,10.53,72502.62,0.4,3.8,10.816,10.649,10.988,116736.09,98333.31,94405.65,4.45
2017-08-25,10.68,10.9,10.53,10.32,60608.32,-0.15,-1.4,10.656,10.665,11.095,115310.76,101409.69,99120.98,3.72
2017-08-18,10.33,10.88,10.68,10.3,85809.59,0.35,3.39,10.52,10.725,11.323,122471.02,105397.28,98541.75,5.27
2017-08-11,11.33,11.85,10.33,10.33,227920.52,-1.28,-11.03,10.446,10.745,11.529,122200.63,104490.67,100928.71,14.0
2017-08-04,10.07,11.62,11.61,10.0,136839.39,1.48,14.61,10.598,10.751,11.809,93079.05,87122.53,95681.05,8.41
2017-07-28,9.81,10.5,10.13,9.72,65375.96,0.28,2.84,10.482,10.682,12.043,79930.54,81695.13,94561.08,4.02
2017-07-21,10.24,10.29,9.85,9.28,96409.63,-0.46,-4.46,10.674,10.861,12.346,87508.63,84226.01,99155.64,5.92
2017-07-14,11.13,11.16,10.31,10.3,84457.63,-0.78,-7.03,10.93,11.014,12.672,88323.54,83129.31,103111.72,5.19
2017-07-07,11.03,11.39,11.09,10.96,82312.66,0.06,0.54,11.044,11.168,12.997,86780.71,81777.52,115564.51,5.06
2017-06-30,11.1,11.34,11.03,10.83,71096.83,-0.06,-0.54,10.904,11.244,13.231,81166.0,83446.75,120734.17,4.37
2017-06-23,11.03,11.58,11.09,10.7,103266.38,-0.04,-0.36,10.882,11.326,13.503,83459.72,90477.99,137221.13,6.14
2017-06-16,10.87,11.21,11.13,10.34,100484.2,0.25,2.3,11.048,11.524,13.693,80943.4,96832.28,133776.26,5.98
2017-06-09,10.38,11.06,10.88,10.33,76743.49,0.49,4.72,11.098,11.921,13.891,77935.09,91686.23,140657.19,4.56
2017-06-02,11.0,11.19,10.39,10.0,54239.1,-0.53,-4.85,11.292,12.313,14.074,76774.34,97366.74,161675.1,3.23
2017-05-26,11.9,11.9,10.92,10.23,82565.43,-1.0,-8.39,11.584,12.867,14.388,85727.49,104239.56,195173.28,4.91
2017-05-19,11.39,12.23,11.92,11.17,90684.76,0.54,4.75,11.77,13.404,14.709,97496.27,107427.03,217442.98,5.39
2017-05-12,11.68,11.89,11.38,11.04,85442.65,-0.47,-3.97,12.0,13.83,14.872,112721.16,114085.28,213740.74,5.12
2017-05-05,11.87,12.24,11.85,11.53,70939.74,0.0,0.0,12.744,14.33,15.055,105437.37,123094.12,213025.43,4.25
2017-04-28,11.79,11.97,11.85,11.01,99004.88,0.0,0.0,13.334,14.826,15.232,117959.15,149351.5,217845.95,5.93
2017-04-21,12.95,13.02,11.85,11.6,141409.3,-1.22,-9.33,14.15,15.218,15.393,122751.64,158021.6,219944.75,8.47
