date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,23.8,25.45,24.9,23.68,0.0,1.2,5.06,24.408,25.632,26.157,0.0,101429.8,182761.17,0.0
2017-12-08,24.51,24.51,23.7,22.88,0.0,-0.94,-3.81,24.592,25.852,26.238,27930.53,117324.22,190368.61,0.0
2017-12-01,24.0,24.8,24.64,23.35,0.0,0.64,2.67,25.096,26.198,26.395,79848.44,144776.42,202775.34,0.0
2017-11-24,24.75,25.45,24.0,23.78,0.0,-0.8,-3.23,25.848,26.488,26.468,129654.07,175360.58,214561.34,0.0
2017-11-17,25.73,26.25,24.8,24.71,0.0,-1.02,-3.95,26.434,26.721,26.555,159253.67,195495.24,226310.06,0.0
2017-11-10,26.07,26.24,25.82,25.1,139652.66,-0.4,-1.53,26.856,26.818,26.61,202859.6,213543.17,237733.66,3.44
2017-11-03,27.0,27.27,26.22,25.61,259589.53,-2.18,-7.68,27.112,26.823,26.555,206717.9,216379.91,238365.11,6.39
2017-10-13,27.15,28.75,28.4,27.05,249028.17,1.47,5.46,27.3,26.793,26.474,209704.4,219762.55,233561.06,6.13
2017-09-29,26.72,27.36,26.93,26.34,147997.97,0.02,0.07,27.128,26.61,26.317,221067.08,244389.32,227819.89,3.64
2017-09-22,27.1,27.95,26.91,26.72,218029.66,-0.19,-0.7,27.008,26.662,26.257,231736.8,262215.63,231653.63,5.36
2017-09-15,27.16,27.52,27.1,26.79,158944.16,-0.06,-0.22,26.78,26.681,26.146,224226.74,264092.55,225554.85,3.91
2017-09-08,27.5,28.18,27.16,26.88,274522.03,-0.38,-1.38,26.534,26.623,26.024,226041.92,263413.0,225160.33,6.75
2017-09-01,26.45,27.59,27.54,25.85,305841.59,1.21,4.6,26.286,26.591,25.881,229820.7,260774.25,219623.94,7.53
2017-08-25,25.9,26.52,26.33,25.74,201346.58,0.56,2.17,26.092,26.448,25.707,267711.56,253762.11,219822.74,4.95
2017-08-18,25.86,26.28,25.77,25.18,180479.34,-0.1,-0.39,26.316,26.389,25.656,292694.45,257124.88,217842.97,4.44
2017-08-11,25.88,26.62,25.87,25.6,168020.08,-0.05,-0.19,26.582,26.402,25.696,303958.35,261924.16,220071.69,4.13
2017-08-04,26.58,27.31,25.92,25.91,293415.91,-0.65,-2.45,26.712,26.286,25.711,300784.07,260350.31,223570.63,7.22
2017-07-28,27.6,28.49,26.57,26.26,495295.91,-0.88,-3.21,26.896,26.154,25.724,291727.8,247359.57,224717.5,12.19
2017-07-21,26.96,27.58,27.45,25.23,326261.03,0.35,1.29,26.804,26.023,25.757,239812.65,211250.46,224649.83,8.03
2017-07-14,26.48,27.38,27.1,25.81,236798.83,0.58,2.19,26.462,25.852,25.695,221555.31,201091.63,232560.73,5.83
2017-07-07,26.84,26.99,26.52,26.18,152148.66,-0.32,-1.19,26.222,25.611,25.56,219889.96,187017.16,235256.91,3.74
2017-06-30,26.06,27.15,26.84,25.87,248134.59,0.73,2.8,25.86,25.424,25.426,219916.56,186907.67,234548.66,6.11
2017-06-23,25.74,26.63,26.11,25.56,235720.14,0.37,1.44,25.412,25.17,25.283,202991.34,178473.62,227879.04,5.8
2017-06-16,25.77,26.66,25.74,25.49,234974.34,-0.16,-0.62,25.242,24.965,25.164,182688.27,185883.38,216725.84,5.78
2017-06-09,24.6,26.3,25.9,24.3,228472.09,1.19,4.82,25.242,24.922,25.071,180627.96,178561.07,207912.91,5.62
2017-06-02,24.79,25.98,24.71,24.01,152281.64,0.11,0.45,25.0,24.989,24.982,154144.35,178219.23,201824.72,3.75
2017-05-26,25.3,25.59,24.6,23.45,163508.5,-0.66,-2.61,24.988,25.136,24.935,153898.78,186790.94,203166.2,4.02
2017-05-19,25.76,26.25,25.26,25.11,134204.78,-0.48,-1.86,24.928,25.294,24.901,153955.9,202075.42,200618.38,3.3
2017-05-12,24.71,26.34,25.74,24.12,224672.77,1.05,4.25,24.688,25.491,24.809,189078.48,238049.21,199091.69,5.53
2017-05-05,24.71,25.2,24.69,24.43,96054.05,0.04,0.16,24.602,25.537,24.677,176494.18,264029.82,198061.13,2.36
2017-04-28,24.34,24.74,24.65,23.48,151053.8,0.35,1.44,24.978,25.509,24.687,202294.11,283496.66,205520.34,3.72
2017-04-21,24.03,24.76,24.3,23.74,163794.12,0.24,1.0,25.284,25.427,24.72,219683.1,282189.65,210680.46,4.03
2017-04-14,25.3,25.65,24.06,23.6,309817.66,-1.25,-4.94,25.66,25.396,24.708,250194.93,277284.45,212671.44,7.62
2017-04-07,26.57,26.58,25.31,25.14,161751.25,-1.26,-4.74,26.294,25.363,24.768,287019.93,247568.31,207714.69,3.98
2017-03-31,26.02,27.1,26.57,25.92,225053.72,0.39,1.49,26.472,25.219,24.734,351565.47,237264.76,209787.18,5.54
2017-03-24,26.31,26.88,26.18,25.79,237998.75,0.0,0.0,26.04,24.974,24.625,364699.2,225430.2,208950.49,5.86
2017-03-17,27.2,27.54,26.18,26.12,316353.28,-1.05,-3.86,25.57,24.733,24.549,344696.19,219541.47,210148.31,7.78
2017-03-10,26.28,28.5,27.23,26.28,493942.66,1.03,3.93,25.132,24.507,24.545,304373.97,199161.35,208294.25,12.15
2017-03-03,24.38,26.33,26.2,24.16,484478.94,1.79,7.33,24.432,24.127,24.455,208116.68,160134.17,204313.66,11.92
2017-02-24,23.94,25.0,24.41,23.76,290722.38,0.58,2.43,23.966,23.817,24.493,122964.06,132092.44,190548.78,7.15
2017-02-17,24.0,24.4,23.83,23.66,137983.7,-0.16,-0.67,23.908,23.865,24.62,86161.2,127544.03,183319.55,3.4
2017-02-10,23.82,24.19,23.99,23.4,114742.19,0.26,1.1,23.896,24.013,24.733,94386.75,139171.28,189755.51,2.82
2017-02-03,23.9,23.9,23.73,23.53,12656.18,-0.14,-0.59,23.882,24.019,24.803,93948.72,148058.43,194033.72,0.31
2017-01-26,24.12,24.29,23.87,23.8,58715.83,-0.25,-1.04,23.822,24.172,24.913,112151.66,167861.08,221642.71,1.44
2017-01-20,23.83,24.14,24.12,22.53,106708.11,0.35,1.47,23.668,24.248,25.079,141220.82,182309.61,231461.67,2.63
2017-01-13,23.85,25.15,23.77,23.7,179111.42,-0.15,-0.63,23.822,24.275,25.255,168926.85,192470.78,239386.21,4.41
2017-01-06,23.49,24.08,23.92,23.49,112552.05,0.49,2.09,24.13,24.365,25.489,183955.8,200755.16,253643.79,2.77
2016-12-30,23.3,23.69,23.43,23.0,103670.88,0.33,1.43,24.156,24.582,25.627,202168.13,217427.15,271294.43,2.55
