date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,22.25,22.39,21.53,21.46,0.0,-0.72,-3.24,22.682,23.982,24.943,0.0,22767.32,77334.91,0.0
2017-12-08,23.24,23.26,22.25,21.56,0.0,-0.94,-4.05,23.368,24.478,25.014,5439.75,28811.1,80685.81,0.0
2017-12-01,23.0,23.39,23.19,22.5,0.0,0.28,1.22,23.802,24.99,25.143,13149.72,38433.5,83950.03,0.0
2017-11-24,23.15,23.88,22.91,22.6,0.0,-0.62,-2.63,24.204,25.451,25.302,22214.37,54731.7,89250.1,0.0
2017-11-17,24.85,26.26,23.53,23.49,0.0,-1.43,-5.73,24.588,26.049,25.396,32646.99,74939.67,91419.53,0.0
2017-11-10,24.67,25.34,24.96,24.25,27198.75,0.54,2.21,25.282,26.338,25.461,45534.64,92175.04,94428.05,4.95
2017-11-03,25.45,25.58,24.42,23.79,38549.85,-0.78,-3.1,25.588,26.456,25.502,52182.46,104169.71,96566.95,7.01
2017-10-27,24.72,26.09,25.2,24.6,45323.25,0.37,1.49,26.178,26.637,25.572,63717.28,131951.57,98275.31,8.24
2017-10-20,26.88,27.09,24.83,24.28,52163.08,-2.17,-8.04,26.698,26.401,25.55,87249.02,131696.85,98764.67,9.48
2017-10-13,26.87,27.53,27.0,26.41,64438.27,0.51,1.93,27.51,26.283,25.609,117232.35,133491.88,102024.1,11.72
2017-09-29,27.35,27.35,26.49,25.89,60437.84,-0.88,-3.21,27.394,25.904,25.763,138815.43,131902.51,104143.17,10.99
2017-09-22,27.73,28.48,27.37,27.22,96223.97,-0.43,-1.55,27.324,25.55,25.901,156156.95,132560.52,105495.71,17.5
2017-09-15,28.33,28.89,27.8,27.5,162981.95,-1.09,-3.77,27.096,25.295,25.985,200185.85,129466.55,104837.94,29.63
2017-09-08,26.45,29.53,28.89,25.8,202079.73,2.47,9.35,26.104,25.153,26.069,176144.68,123768.51,101786.48,36.74
2017-09-01,26.0,27.5,26.42,25.8,172353.67,0.28,1.07,25.056,24.742,26.093,149751.41,107899.4,97415.6,31.34
2017-08-25,26.15,26.52,26.14,24.9,147145.45,-0.09,-0.34,24.414,24.584,26.423,124989.58,96681.07,102007.03,26.75
2017-08-18,22.62,28.58,26.23,22.62,316368.44,3.39,14.84,23.776,24.547,26.916,108964.08,88964.19,103421.18,57.52
2017-08-11,23.8,23.92,22.84,22.81,42776.09,-0.81,-3.42,23.494,24.506,27.207,58747.26,64599.05,98152.25,7.78
2017-08-04,23.21,24.89,23.65,23.0,70113.42,0.44,1.9,24.202,24.699,27.941,71392.34,65832.5,112521.37,12.75
2017-07-28,22.5,23.6,23.21,22.45,48544.52,0.26,1.13,24.428,24.935,28.582,66047.39,70556.33,130654.42,8.83
2017-07-21,24.88,24.88,22.95,22.21,67017.92,-1.87,-7.53,24.754,25.621,29.236,68372.56,76383.83,146784.32,12.19
2017-07-14,26.05,26.17,24.82,24.27,65284.33,-1.56,-5.91,25.318,26.251,29.749,68964.3,78430.9,155593.62,11.87
2017-07-07,24.87,26.67,26.38,24.71,106001.52,1.6,6.46,25.518,26.675,30.179,70450.84,80209.33,162620.46,19.27
2017-06-30,24.68,25.3,24.78,24.27,43388.64,-0.06,-0.24,25.196,26.984,30.445,60272.65,79804.45,169023.48,7.89
2017-06-23,25.7,26.35,24.84,24.25,60170.37,-0.93,-3.61,25.442,27.443,30.826,75065.27,86931.81,180485.42,10.94
2017-06-16,25.44,26.13,25.77,24.56,69976.65,-0.05,-0.19,26.488,28.262,31.133,84395.09,107332.99,178668.77,12.72
2017-06-09,24.8,26.18,25.82,24.61,72717.0,1.05,4.24,27.184,29.285,31.421,87897.5,117878.17,182994.24,13.22
2017-06-02,26.6,26.95,24.77,23.51,55110.58,-1.24,-4.77,27.832,29.907,31.749,89967.82,131705.45,198714.79,10.02
2017-05-26,29.85,30.6,26.01,23.6,117351.73,-4.06,-13.5,28.772,31.183,31.974,99336.25,159210.25,204033.36,21.34
2017-05-19,29.49,30.6,30.07,28.88,106819.51,0.82,2.8,29.444,32.229,32.333,98798.35,190752.52,207329.56,19.42
2017-05-12,28.92,29.77,29.25,27.63,87488.7,0.19,0.65,30.036,32.851,32.598,130270.88,217184.81,212312.72,15.91
2017-05-05,29.42,30.95,29.06,28.94,83068.56,-0.41,-1.39,31.386,33.246,32.965,147858.83,232756.34,223948.75,15.1
2017-04-28,29.3,29.84,29.47,27.61,101952.73,0.1,0.34,31.982,33.683,33.6,173443.08,245031.59,245577.09,18.54
2017-04-21,32.6,32.6,29.37,29.01,114662.26,-3.66,-11.08,33.594,33.906,34.374,219084.26,258242.52,296053.41,20.85
2017-04-14,36.96,37.9,33.03,32.55,264182.16,-2.97,-8.25,35.014,34.208,35.473,282706.69,274039.04,341677.95,48.03
2017-04-07,34.0,36.37,36.0,33.33,175428.45,3.96,12.36,35.666,34.004,36.091,304098.73,250004.55,329160.71,31.9
2017-03-31,37.2,37.52,32.04,31.72,210989.8,-5.49,-14.63,35.106,33.556,35.701,317653.86,248110.31,320436.19,38.36
2017-03-24,36.02,38.6,37.53,36.02,330158.62,1.06,2.91,35.384,33.59,34.974,316620.1,265724.13,309901.8,60.03
2017-03-17,35.9,38.44,36.47,35.3,432774.44,0.18,0.5,34.218,32.764,34.839,297400.78,248856.47,308835.65,78.69
2017-03-10,33.32,36.93,36.29,33.09,371142.34,3.09,9.31,33.402,32.437,34.748,265371.38,223906.59,301950.16,67.48
2017-03-03,33.2,34.37,33.2,32.74,243204.08,-0.23,-0.69,32.342,32.345,34.658,195910.37,207440.63,297880.04,44.22
2017-02-24,31.63,34.5,33.43,30.23,205821.03,1.73,5.46,32.006,32.683,34.749,178566.77,215141.16,301297.28,37.42
2017-02-17,32.04,33.98,31.7,31.61,234062.02,-0.69,-2.13,31.796,33.517,34.837,214828.17,246122.58,307662.37,42.56
