date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-05,6.8,6.8,6.26,6.12,0.0,-0.54,-7.94,6.75,7.122,7.382,100908.74,489613.06,908105.36,0.0
2017-12-01,6.66,7.03,6.8,6.66,0.0,0.12,1.8,7.0,7.26,7.425,327558.94,587597.09,967752.3,0.0
2017-11-24,6.59,7.08,6.68,6.4,0.0,0.1,1.52,7.166,7.413,7.479,656592.56,740179.51,1010637.17,0.0
2017-11-17,7.45,7.45,6.58,6.39,0.0,-0.85,-11.44,7.214,7.567,7.547,753005.07,894654.21,1062061.01,0.0
2017-11-10,7.43,7.68,7.43,7.29,504543.69,-0.08,-1.06,7.418,7.76,7.647,863799.62,1145403.51,1169655.06,7.06
2017-11-03,7.5,7.96,7.51,7.11,1133251.0,-0.12,-1.57,7.494,7.827,7.717,878317.39,1189739.82,1228481.24,15.87
2017-10-27,6.93,8.14,7.63,6.91,1645168.12,0.71,10.26,7.52,7.835,7.806,847635.25,1223913.19,1290449.89,23.03
2017-10-20,7.52,7.66,6.92,6.8,482062.56,-0.68,-8.95,7.66,7.817,7.862,823766.45,1170422.16,1278659.16,6.75
2017-10-13,7.84,7.85,7.6,7.46,553972.75,-0.21,-2.69,7.92,7.831,7.998,1036303.34,1260072.24,1422868.24,7.76
2017-09-29,7.62,7.84,7.81,7.48,577132.5,0.17,2.23,8.102,7.744,8.122,1427007.39,1279470.59,1678055.25,8.08
2017-09-22,8.33,8.44,7.64,7.59,979840.31,-0.69,-8.28,8.16,7.641,8.213,1501162.26,1326597.66,1892355.3,13.72
2017-09-15,8.25,8.79,8.33,8.15,1525824.12,0.11,1.34,8.15,7.59,8.348,1600191.12,1347907.51,2117760.28,21.36
2017-09-08,8.46,8.85,8.22,8.15,1544747.0,-0.29,-3.41,7.974,7.544,8.397,1517077.88,1281094.84,2322146.58,21.63
2017-09-01,8.1,8.62,8.51,7.81,2507493.0,0.41,5.06,7.742,7.526,8.418,1483841.15,1229467.81,2612897.63,35.1
2017-08-25,7.56,8.1,8.1,7.27,947906.88,0.51,6.72,7.386,7.534,8.414,1131933.8,1193906.61,2489500.93,13.27
2017-08-18,7.49,7.9,7.59,7.49,1474984.62,0.14,1.88,7.122,7.606,8.356,1152033.06,1267222.66,2463840.13,20.65
2017-08-11,6.95,7.57,7.45,6.95,1110257.88,0.39,5.52,7.03,7.777,8.319,1095623.89,1356986.6,2418037.07,15.54
