date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,8.77,8.86,8.51,8.45,0.0,-0.24,-2.74,9.124,10.323,10.723,0.0,69912.42,106088.05,0.0
2017-12-08,9.12,9.14,8.75,8.31,0.0,-0.38,-4.16,9.592,10.653,10.842,23703.61,89436.15,118261.65,0.0
2017-12-01,9.55,9.55,9.13,9.0,0.0,-0.38,-4.0,10.11,10.893,10.941,55909.16,96306.89,128209.15,0.0
2017-11-24,9.48,9.76,9.51,8.91,0.0,-0.21,-2.16,10.674,11.112,11.012,88477.83,110149.55,137632.94,0.0
2017-11-17,10.91,10.96,9.72,9.72,0.0,-1.13,-10.41,11.096,11.255,11.041,112870.4,122121.57,146631.75,0.0
2017-11-10,11.21,11.39,10.85,10.6,118518.05,-0.49,-4.32,11.522,11.416,11.051,139824.83,134141.23,155471.89,3.88
2017-11-03,11.94,11.94,11.34,10.98,161027.77,-0.61,-5.11,11.714,11.435,11.006,155168.68,129310.67,166197.79,5.27
2017-10-27,11.5,12.2,11.95,11.5,162843.34,0.33,2.84,11.676,11.403,10.904,136704.62,126505.28,163880.96,5.33
2017-10-20,11.9,11.92,11.62,11.35,121962.84,-0.23,-1.94,11.55,11.324,10.765,131821.27,142485.8,162702.54,3.99
2017-10-13,11.82,12.07,11.85,11.61,134772.17,0.04,0.34,11.414,11.231,10.67,131372.74,141192.97,167683.38,4.41
2017-09-29,11.21,11.88,11.81,10.9,195237.28,0.66,5.92,11.31,11.122,10.568,128457.63,142263.68,171825.17,6.4
2017-09-22,11.28,11.36,11.15,11.15,68707.45,-0.17,-1.5,11.156,11.03,10.447,103452.66,147087.15,168738.5,2.25
2017-09-15,10.99,11.51,11.32,10.99,138426.59,0.38,3.47,11.13,10.989,10.38,116305.95,160111.41,169848.53,4.53
2017-09-08,11.3,11.32,10.94,10.85,119720.2,-0.39,-3.44,11.098,10.912,10.308,153150.34,165116.34,172456.06,3.92
2017-09-01,11.03,11.42,11.33,11.01,120196.64,0.29,2.63,11.048,10.826,10.273,151013.21,171141.93,175664.9,3.94
2017-08-25,10.99,11.08,11.04,10.8,70212.4,0.02,0.18,10.934,10.685,10.25,156069.74,176802.55,178265.43,2.3
2017-08-18,11.05,11.29,11.02,10.8,132973.92,-0.14,-1.25,10.904,10.576,10.266,190721.65,203084.91,184932.64,4.36
