date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-19,49.49,51.3,47.3,46.27,28930.04,-1.92,-3.9,48.33,46.437,42.839,37503.12,52242.9,42714.04,2.89
2017-10-13,49.37,50.98,49.22,48.32,34303.62,1.12,2.33,48.778,45.441,42.484,46722.77,51538.75,42352.34,3.42
2017-09-29,48.55,49.0,48.1,46.3,20835.48,-0.74,-1.51,48.676,44.281,43.856,52982.43,50526.4,42833.16,2.08
2017-09-22,48.0,50.96,48.84,48.0,38046.24,0.65,1.35,47.962,43.111,45.331,70184.91,51686.03,43249.01,3.8
2017-09-15,49.56,49.76,48.19,46.98,65400.23,-1.35,-2.73,46.476,42.199,47.069,74144.65,55567.78,42363.47,6.53
2017-09-08,48.96,52.8,49.54,48.82,75028.3,0.83,1.7,44.544,41.437,48.597,66982.67,51646.38,40204.4,7.49
2017-09-01,44.3,48.83,48.71,44.3,65601.92,4.18,9.39,42.104,40.483,50.053,56354.73,46844.82,37417.38,6.55
2017-08-25,41.97,46.7,44.53,41.8,106847.85,3.12,7.53,39.886,39.592,51.837,48070.36,42482.28,36159.43,10.66
2017-08-18,38.61,41.93,41.41,38.39,57844.96,2.88,7.47,38.26,39.272,54.171,33187.15,35420.56,31799.42,5.77
2017-08-11,37.37,39.27,38.53,37.15,29590.34,1.19,3.19,37.922,39.237,56.63,36990.9,33994.49,33210.88,2.95
2017-08-04,38.09,38.4,37.34,36.51,21888.56,-0.28,-0.74,38.33,39.241,59.948,36310.08,33185.18,34690.72,2.18
2017-07-28,36.14,38.38,37.62,36.14,24180.09,1.22,3.35,38.862,39.527,63.076,37334.92,33165.93,38124.84,2.41
2017-07-21,39.19,39.23,36.4,36.28,32431.79,-3.32,-8.36,39.298,43.43,66.16,36894.2,35139.93,40235.07,9.01
2017-07-14,40.39,43.03,39.72,39.1,76863.71,-0.85,-2.1,40.284,47.55,69.064,37653.98,34811.98,40170.18,21.35
2017-07-07,40.01,40.91,40.57,39.62,26186.23,0.57,1.43,40.552,51.938,71.851,30998.08,29159.17,39060.46,7.27
2017-06-30,39.67,40.47,40.0,39.04,27012.77,0.2,0.5,40.152,55.757,74.599,30060.29,28762.42,41874.09,7.5
2017-06-23,41.27,41.9,39.8,38.7,21976.5,-1.53,-3.7,40.192,59.622,77.309,28996.95,27989.94,41860.4,6.1
2017-06-16,40.01,42.25,41.33,39.42,36230.67,0.27,0.66,47.562,64.082,79.928,33385.66,29836.59,40918.82,10.06
2017-06-09,38.8,42.49,41.06,38.41,43584.21,2.49,6.46,54.816,69.07,82.579,31969.99,28178.29,40560.1,12.11
2017-06-02,41.8,41.81,38.57,36.78,21497.29,-1.63,-4.05,63.324,74.022,85.135,27320.26,32427.28,40383.29,5.97
2017-05-26,77.18,77.43,40.2,39.75,21696.06,-36.45,-47.55,71.362,80.655,88.077,27464.54,36196.27,40828.48,6.03
2017-05-19,79.93,85.36,76.65,74.67,43920.06,-0.95,-1.22,79.052,86.625,91.361,26982.93,43083.74,40806.86,21.96
2017-05-12,83.6,85.0,77.6,75.2,29152.32,-6.0,-7.18,80.602,88.889,92.979,26287.52,45330.21,40078.2,14.58
2017-05-05,78.77,83.6,83.6,77.31,20335.57,4.84,6.14,83.324,90.577,94.861,24386.58,45528.37,41137.8,10.17
2017-04-28,77.5,78.95,78.76,74.31,22218.71,0.11,0.14,84.72,91.764,96.862,37534.29,48961.75,42132.43,11.11
2017-04-21,83.68,83.68,78.65,78.0,19288.01,-5.75,-6.81,89.948,93.44,99.142,44927.99,54985.76,42898.7,9.64
2017-04-14,88.55,88.67,84.4,81.01,40442.97,-6.81,-7.47,94.198,94.995,101.783,59184.55,55730.85,44809.58,20.22
2017-04-07,91.97,95.57,91.21,90.58,19647.65,0.63,0.7,97.176,95.774,105.027,64372.91,52001.05,48085.65,9.82
2017-03-31,104.92,107.0,90.58,90.11,86074.12,-14.32,-13.65,97.83,96.087,107.639,66670.16,52941.92,50002.34,43.04
2017-03-24,100.0,104.96,104.9,99.01,59187.18,5.0,5.0,98.808,96.247,110.51,60389.2,48339.31,51746.81,29.59
2017-03-17,97.92,106.55,99.9,96.7,90570.84,0.61,0.61,96.932,95.498,112.454,65043.53,45460.69,50068.68,45.29
2017-03-10,93.91,101.93,99.29,93.9,66384.77,4.81,5.09,95.792,96.096,114.533,52277.15,38529.98,49181.0,33.19
2017-03-03,95.39,95.39,94.48,91.79,31133.91,-0.99,-1.04,94.372,97.069,116.673,39629.19,34826.19,48501.93,15.57
2017-02-24,94.6,96.55,95.47,92.81,54669.29,-0.05,-0.05,94.344,99.145,119.104,39213.68,36747.23,51110.37,27.33
2017-02-17,94.19,104.75,95.52,93.3,82458.86,1.32,1.4,93.686,101.959,121.224,36289.43,35303.11,51496.5,41.23
2017-02-10,92.4,96.65,94.2,91.4,26738.91,2.01,2.18,94.064,104.844,123.455,25877.85,30811.63,50392.4,13.37
2017-02-03,94.34,94.9,92.19,92.02,3145.0,-2.15,-2.28,96.4,108.571,126.082,24782.81,33888.32,51494.19,1.57
2017-01-26,91.98,96.99,94.34,90.11,29056.36,2.16,2.34,99.766,114.28,129.008,30023.19,44170.25,58241.16,14.53
2017-01-20,96.03,96.33,92.18,86.7,40048.0,-5.23,-5.37,103.946,119.19,132.592,34280.77,47062.76,65999.24,20.02
2017-01-13,105.11,105.99,97.41,97.2,30400.99,-8.47,-8.0,110.232,124.772,136.35,34316.79,55154.31,81900.29,15.2
2017-01-06,108.99,113.19,105.88,105.77,21263.68,-3.14,-2.88,115.624,129.409,140.256,35745.41,54676.68,80697.98,10.63
2016-12-30,115.23,117.48,109.02,108.7,29346.91,-6.22,-5.4,120.742,132.969,140.41,42993.83,59832.01,79694.83,14.67
