date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,4.07,4.11,4.05,4.02,0.0,-0.01,-0.25,4.206,4.541,4.785,0.0,152132.65,369013.28,0.0
2017-12-08,4.27,4.3,4.06,3.98,0.0,-0.24,-5.58,4.338,4.63,4.817,25628.32,179377.43,399497.33,0.0
2017-12-01,4.31,4.33,4.3,4.19,0.0,0.02,0.47,4.46,4.729,4.862,71757.88,208243.77,426460.38,0.0
2017-11-24,4.33,4.35,4.28,4.16,0.0,-0.06,-1.38,4.576,4.814,4.916,122742.28,251057.51,447357.38,0.0
2017-11-17,4.71,4.71,4.34,4.29,0.0,-0.37,-7.86,4.708,4.9,4.968,207428.45,303060.43,468476.36,0.0
2017-11-10,4.67,4.82,4.71,4.62,128141.59,0.04,0.86,4.876,4.983,5.018,304265.3,381786.27,498085.78,0.79
2017-11-03,4.85,4.87,4.67,4.63,230647.81,-0.21,-4.3,4.922,5.037,5.059,333126.55,465892.65,523996.7,1.42
2017-10-27,4.94,4.96,4.88,4.85,254922.0,-0.06,-1.22,4.998,5.072,5.099,344729.66,494201.46,569101.66,1.57
2017-10-20,5.19,5.19,4.94,4.87,423430.84,-0.24,-4.63,5.052,5.093,5.139,379372.74,574723.78,607220.35,2.61
2017-10-13,4.97,5.21,5.18,4.92,484184.28,0.24,4.86,5.092,5.076,5.191,398692.41,583071.14,741500.4,2.99
2017-09-29,5.01,5.05,4.94,4.85,272447.81,-0.11,-2.18,5.09,5.029,5.271,459307.23,585893.91,718507.28,1.68
2017-09-22,5.17,5.18,5.05,5.04,288663.38,-0.1,-1.94,5.152,5.003,5.441,598658.76,619617.23,710539.71,1.78
2017-09-15,5.13,5.25,5.15,5.1,428137.41,0.01,0.2,5.146,4.995,5.596,643673.25,644676.99,719412.32,2.64
2017-09-08,5.19,5.24,5.14,5.11,520029.19,-0.03,-0.58,5.134,5.018,5.745,770074.82,643657.25,729857.91,3.21
2017-09-01,5.2,5.38,5.17,5.13,787258.38,-0.08,-1.52,5.06,5.035,5.902,767449.87,633892.28,712794.14,4.86
2017-08-25,5.03,5.36,5.25,4.91,969205.44,0.23,4.58,4.968,5.053,6.034,712480.59,614385.28,693231.29,5.98
2017-08-18,5.1,5.19,5.02,4.95,513735.84,-0.07,-1.38,4.854,5.08,6.17,640575.69,582100.74,684073.18,3.17
2017-08-11,4.77,5.22,5.09,4.76,1060145.25,0.32,6.71,4.844,5.126,6.312,645680.73,644001.86,712958.16,6.54
2017-08-04,4.72,4.79,4.77,4.65,506904.44,0.06,1.27,4.902,5.185,6.444,517239.67,639716.92,681142.13,3.13
2017-07-28,4.67,4.77,4.71,4.6,512412.0,0.03,0.64,5.01,5.306,6.581,500334.69,899929.65,706394.47,3.16
2017-07-21,4.98,4.98,4.68,4.56,609680.94,-0.29,-5.83,5.138,5.512,6.705,516289.98,851120.65,705829.33,3.76
2017-07-14,5.31,5.32,4.97,4.91,539261.0,-0.41,-7.62,5.306,5.879,6.818,523625.79,801462.2,706329.4,3.33
2017-07-07,5.33,5.41,5.38,5.31,417939.97,0.07,1.32,5.408,6.197,6.923,642322.99,794147.64,705039.21,2.58
2017-06-30,5.36,5.45,5.31,5.27,422379.53,-0.04,-0.75,5.468,6.472,6.999,762194.17,816058.57,719230.35,2.61
2017-06-23,5.52,5.59,5.35,5.28,592188.44,-0.17,-3.08,5.602,6.768,7.091,1299524.61,791696.01,746331.53,3.65
2017-06-16,5.46,5.59,5.52,5.3,646360.0,0.04,0.73,5.886,7.014,7.16,1185951.33,772077.29,750132.95,3.99
2017-06-09,5.68,5.78,5.48,5.36,1132747.0,-0.2,-3.52,6.452,7.26,7.224,1079298.62,786045.61,766701.39,6.99
2017-06-02,6.05,6.05,5.68,5.52,1017295.88,-0.3,-5.02,6.986,7.498,7.283,945972.3,781914.46,749649.98,6.28
2017-05-26,6.09,6.29,5.98,5.5,3109031.75,-0.79,-11.67,7.476,7.702,7.322,869922.97,722567.33,737510.59,19.19
2017-05-19,7.52,7.52,6.77,6.77,24322.0,-1.58,-18.92,7.934,7.856,7.351,283867.4,512859.29,644725.84,0.15
2017-02-20,8.15,8.35,8.35,8.15,113096.45,0.2,2.45,8.142,7.898,7.357,358203.25,560538.01,712086.52,0.7
2017-02-17,8.12,8.25,8.15,8.01,466115.41,0.02,0.25,8.068,7.757,7.241,492792.6,611196.6,721791.52,2.88
2017-02-10,8.25,8.46,8.13,8.07,637049.25,-0.14,-1.69,8.01,7.648,7.142,617856.62,615930.77,723215.59,3.93
2017-02-03,7.83,8.3,8.27,7.83,178753.91,0.46,5.89,7.928,7.525,7.037,575211.69,622402.12,708071.98,1.1
2017-01-26,7.97,8.17,7.81,7.72,396001.25,-0.17,-2.13,7.778,7.414,6.932,741851.17,700967.04,758692.37,2.44
2017-01-20,7.6,8.18,7.98,7.07,786043.19,0.12,1.53,7.654,7.305,6.842,762872.77,728188.61,783562.99,4.85
2017-01-13,7.72,8.47,7.86,7.72,1091435.5,0.14,1.81,7.446,7.188,6.756,729600.6,747357.18,800960.77,6.74
