date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,18.6,19.09,18.4,18.13,0.0,-0.3,-1.6,19.138,21.135,21.381,0.0,107978.93,170579.78,0.0
2017-12-08,19.4,19.4,18.7,17.7,0.0,-0.59,-3.06,19.938,21.864,21.467,15632.02,185158.18,178089.81,0.0
2017-12-01,19.55,19.55,19.29,18.73,0.0,-0.31,-1.58,20.442,22.395,21.678,49649.84,207964.36,184660.1,0.0
2017-11-24,19.72,20.41,19.6,19.0,0.0,-0.1,-0.51,21.386,22.59,21.951,87116.51,219279.6,196617.75,0.0
2017-11-17,22.33,22.44,19.7,19.55,0.0,-2.7,-12.05,22.134,22.801,22.129,130613.24,237594.6,201713.1,0.0
2017-11-10,21.33,22.76,22.4,20.96,78160.08,1.18,5.56,23.132,23.087,22.292,215957.86,277600.37,208596.21,13.76
2017-11-03,23.58,23.79,21.22,20.9,170089.11,-2.79,-11.62,23.79,22.957,22.355,354684.34,287218.36,213916.25,29.95
2017-10-27,23.31,24.45,24.01,22.52,187333.36,0.67,2.87,24.348,22.872,22.49,366278.87,289262.98,216980.45,32.98
2017-10-20,24.45,24.87,23.34,22.83,217483.67,-1.35,-5.47,23.794,22.401,22.473,351442.69,277117.15,216694.04,38.29
2017-10-13,25.73,26.45,24.69,23.65,426723.06,-1.0,-3.89,23.468,22.056,22.546,344575.95,262939.54,221719.21,75.13
2017-09-29,24.3,26.67,25.69,22.46,771792.5,1.68,7.0,23.042,21.627,22.664,339242.89,233180.62,219670.15,135.88
2017-09-22,21.21,24.01,24.01,21.18,228061.77,2.77,13.04,22.124,21.069,22.856,219752.38,171021.44,207526.74,40.15
2017-09-15,21.62,22.27,21.24,21.15,113152.43,-0.47,-2.17,21.396,20.961,23.295,212247.08,161355.84,244794.61,19.92
2017-09-08,22.48,22.71,21.71,21.4,183149.98,-0.85,-3.77,21.008,21.311,23.983,202791.62,173955.91,261546.41,32.24
2017-09-01,21.5,23.7,22.56,20.85,400057.78,1.46,6.92,20.644,21.457,23.985,181303.13,165831.61,252404.85,70.43
2017-08-25,20.37,22.31,21.1,19.66,174339.94,0.73,3.58,20.212,21.496,24.059,127118.36,139592.05,244633.64,30.69
2017-08-18,19.25,21.27,20.37,19.22,190535.28,1.07,5.54,20.014,21.752,24.224,122290.51,140614.14,248538.85,33.54
2017-08-11,19.9,20.09,19.3,19.3,65875.1,-0.59,-2.97,20.526,22.108,24.451,110464.6,144697.91,251950.82,11.6
2017-08-04,20.49,20.56,19.89,19.86,75707.55,-0.51,-2.5,21.614,22.544,24.773,145120.2,156270.94,263580.56,13.33
2017-07-28,19.88,20.8,20.4,19.58,129133.91,0.29,1.44,22.27,23.036,25.098,150360.09,180498.89,276105.42,22.73
2017-07-21,22.77,22.78,20.11,19.88,150200.7,-2.82,-12.3,22.78,23.7,25.434,152065.74,206159.67,286603.39,26.44
2017-07-14,24.48,24.48,22.93,22.81,131405.75,-1.81,-7.32,23.49,24.643,25.843,158937.78,244032.03,297095.9,23.13
2017-07-07,23.25,24.98,24.74,23.02,239153.09,1.57,6.78,23.69,25.629,26.086,178931.23,328233.38,310903.42,42.1
2017-06-30,22.89,23.48,23.17,22.62,101907.0,0.22,0.96,23.474,26.655,26.208,167421.67,349136.92,317426.17,17.94
2017-06-23,23.6,23.95,22.95,22.33,137662.16,-0.71,-3.0,23.802,26.512,26.512,210637.69,338978.09,338978.09,24.24
2017-06-16,23.5,24.1,23.66,22.55,184560.91,-0.27,-1.13,24.62,26.908,26.908,260253.6,361346.53,361346.53,32.49
2017-06-09,24.0,24.72,23.93,23.46,231372.98,0.27,1.14,25.796,27.314,27.314,329126.28,383444.73,383444.73,40.73
2017-06-02,25.99,26.67,23.66,22.4,181605.31,-1.15,-4.63,27.568,27.797,27.797,477535.54,405169.26,405169.26,31.97
2017-05-26,26.87,27.3,24.81,23.2,317987.09,-2.23,-8.25,29.836,28.487,28.487,530852.17,442429.92,442429.92,55.98
2017-05-19,29.08,30.25,27.04,26.81,385741.72,-2.5,-8.46,29.222,29.222,29.222,467318.49,467318.49,467318.49,67.91
2017-05-12,31.6,32.3,29.54,26.78,528924.31,-3.25,-9.91,29.768,29.768,29.768,487712.68,487712.68,487712.68,93.12
2017-05-05,33.57,37.86,32.79,31.88,973419.25,-2.21,-6.31,29.843,29.843,29.843,473975.47,473975.47,473975.47,171.38
2017-04-28,23.91,35.0,35.0,23.91,448188.47,13.26,60.99,28.37,28.37,28.37,224253.59,224253.59,224253.59,78.91
2017-04-21,16.46,21.74,21.74,16.46,318.7,2.74,19.97,21.74,21.74,21.74,318.7,318.7,318.7,0.06
