date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,7.28,7.47,7.4,7.24,0.0,0.1,1.37,7.308,7.62,7.918,0.0,63572.09,119554.52,0.0
2017-12-08,7.32,7.41,7.3,7.03,0.0,-0.1,-1.35,7.378,7.714,7.94,10074.61,74128.54,126775.66,0.0
2017-12-01,7.17,7.44,7.4,7.08,0.0,0.19,2.63,7.414,7.823,7.978,34612.51,97895.27,135245.85,0.0
2017-11-24,7.19,7.52,7.21,6.9,0.0,-0.02,-0.28,7.528,7.96,8.025,54517.6,128375.74,141336.07,0.0
2017-11-17,7.7,7.75,7.23,7.17,0.0,-0.52,-6.71,7.692,8.072,8.074,101579.03,150823.01,149247.64,0.0
2017-11-10,7.5,7.78,7.75,7.39,50373.07,0.27,3.61,7.932,8.17,8.117,127144.18,164244.35,154160.09,1.69
2017-11-03,7.96,7.96,7.48,7.45,122689.46,-0.49,-6.15,8.05,8.208,8.137,138182.46,170168.7,156749.74,4.11
2017-10-27,8.02,8.06,7.97,7.92,99525.46,-0.06,-0.75,8.232,8.279,8.169,161178.03,175848.71,155194.63,3.33
2017-10-20,8.43,8.86,8.03,7.93,235307.16,-0.4,-4.75,8.392,8.275,8.161,202233.87,188388.53,154251.72,7.87
2017-10-13,8.41,8.58,8.43,8.36,127825.73,0.09,1.08,8.452,8.263,8.17,200067.0,175257.72,147434.63,4.28
2017-09-29,8.37,8.41,8.34,8.17,105564.48,-0.05,-0.6,8.408,8.215,8.185,201344.53,175536.95,145798.93,3.53
2017-09-22,8.74,8.78,8.39,8.32,237667.34,-0.38,-4.33,8.366,8.166,8.188,202154.93,179422.79,145834.27,7.95
2017-09-15,8.3,8.8,8.77,8.27,304804.66,0.44,5.28,8.326,8.132,8.213,190519.4,172596.43,139147.76,10.2
2017-09-08,8.2,8.53,8.33,8.17,224472.77,0.12,1.46,8.158,8.09,8.223,174543.19,154296.4,130622.83,7.51
2017-09-01,8.13,8.22,8.21,8.08,134213.41,0.08,0.98,8.074,8.076,8.269,150448.43,147672.26,129580.04,4.49
2017-08-25,8.16,8.27,8.13,8.01,109616.48,-0.06,-0.73,8.022,8.064,8.362,149729.37,144075.83,130283.3,3.67
2017-08-18,7.92,8.28,8.19,7.81,179489.66,0.26,3.28,7.966,8.065,8.479,156690.65,143330.78,129585.38,6.01
2017-08-11,7.89,8.33,7.93,7.82,224923.64,0.02,0.25,7.938,8.059,8.581,154673.46,134540.54,130970.96,7.53
2017-08-04,7.95,8.12,7.91,7.86,103998.98,-0.04,-0.5,8.022,8.046,8.724,134049.61,120114.91,129431.93,3.48
2017-07-28,7.8,8.04,7.95,7.74,130618.1,0.1,1.27,8.078,8.077,8.87,144896.08,119611.55,131592.12,4.37
2017-07-21,8.05,8.05,7.85,7.5,144422.89,-0.2,-2.48,8.106,8.154,9.015,138422.28,116060.9,134128.78,4.83
2017-07-14,8.31,8.46,8.05,8.01,169403.69,-0.3,-3.59,8.164,8.209,9.173,129970.91,112245.75,136662.14,5.67
2017-07-07,8.19,8.36,8.35,8.18,121804.4,0.16,1.95,8.18,8.294,9.322,114407.62,105699.1,140176.9,4.08
2017-06-30,8.06,8.4,8.19,8.0,158231.34,0.1,1.24,8.07,8.356,9.443,106180.21,106949.27,146119.14,5.29
2017-06-23,8.15,8.31,8.09,7.94,98249.07,-0.05,-0.61,8.076,8.461,9.58,94327.01,111487.82,153020.13,3.29
2017-06-16,8.1,8.22,8.14,7.8,102166.07,0.01,0.12,8.202,8.659,9.708,93699.53,116490.77,149554.68,3.42
2017-06-09,7.79,8.24,8.13,7.76,91587.24,0.33,4.23,8.254,8.893,9.833,94520.58,115839.97,154557.51,3.06
2017-06-02,7.95,8.34,7.8,7.5,80667.31,-0.42,-5.11,8.408,9.102,9.972,96990.57,127401.37,159445.11,2.7
2017-05-26,8.71,8.75,8.22,7.92,98965.37,-0.5,-5.73,8.642,9.402,10.154,107718.33,138748.96,167220.91,3.31
2017-05-19,8.45,8.88,8.72,8.39,95111.64,0.32,3.81,8.846,9.662,10.339,128648.62,143572.7,176067.15,3.18
2017-05-12,8.91,8.92,8.4,8.2,106271.33,-0.5,-5.62,9.116,9.876,10.485,139282.01,152196.66,182759.85,3.56
2017-05-05,8.98,9.27,8.9,8.83,103937.19,-0.07,-0.78,9.532,10.136,10.625,137159.37,161078.53,198188.34,3.48
2017-04-28,9.12,9.21,8.97,8.37,134306.11,-0.27,-2.92,9.796,10.35,10.76,157812.17,174654.71,214738.15,4.49
2017-04-21,10.05,10.06,9.24,9.0,203616.84,-0.83,-8.24,10.162,10.53,10.896,169779.59,185289.02,214755.42,6.81
2017-04-14,10.53,10.53,10.07,10.03,148278.59,-0.41,-3.91,10.478,10.698,11.012,158496.78,194552.45,215142.58,4.96
2017-04-07,10.23,10.55,10.48,10.18,95658.12,0.26,2.54,10.636,10.756,11.101,165111.3,182618.59,223096.93,3.2
2017-03-31,10.8,10.84,10.22,10.12,207201.19,-0.58,-5.37,10.74,10.772,11.185,184997.7,193275.05,231819.08,6.93
2017-03-24,10.8,11.09,10.8,10.73,194143.22,-0.02,-0.18,10.904,10.842,11.276,191497.24,191488.85,239028.04,6.5
2017-03-17,10.83,10.98,10.82,10.77,147202.77,-0.04,-0.37,10.898,10.905,11.314,200798.44,195692.86,234688.64,4.93
2017-03-10,10.95,11.14,10.86,10.81,181351.2,-0.14,-1.27,10.918,11.015,11.345,230608.12,208561.61,243400.58,6.07
