date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-09-14,21.47,22.19,21.74,21.36,72367.22,0.26,1.21,21.292,20.873,22.235,93593.69,87807.65,97857.23,14.47
2017-09-08,21.7,21.99,21.48,21.23,92243.57,-0.21,-0.97,20.824,21.14,22.467,90011.41,94534.99,101256.08,18.45
2017-09-01,21.33,22.2,21.69,21.02,136656.3,0.52,2.46,20.542,21.252,22.654,83800.92,92028.79,103355.33,27.33
2017-08-25,20.25,21.21,21.17,20.2,99780.69,0.79,3.88,20.234,21.326,22.885,71808.24,86771.2,104717.83,19.96
2017-08-18,19.43,20.68,20.38,19.43,66920.69,0.98,5.05,19.976,21.557,23.277,72286.56,87817.87,106030.53,13.38
2017-08-11,19.98,20.33,19.4,19.35,54455.8,-0.67,-3.34,20.454,21.861,23.744,82021.61,94385.54,121730.89,10.89
2017-08-04,20.1,20.56,20.07,19.81,61191.11,-0.08,-0.4,21.456,22.11,24.477,99058.57,96705.46,140114.17,12.24
2017-07-28,19.57,20.59,20.15,19.16,76692.93,0.27,1.36,21.962,22.361,25.082,100256.67,103150.55,161688.2,15.34
2017-07-21,22.41,22.43,19.88,19.84,102172.27,-2.89,-12.69,22.418,22.84,25.691,101734.16,106973.83,192399.01,20.43
2017-07-14,24.21,24.23,22.77,22.58,115595.96,-1.64,-6.72,23.138,23.313,26.238,103349.19,108770.93,211362.63,23.12
2017-07-07,22.61,25.0,24.41,22.36,139640.56,1.81,8.01,23.268,23.597,26.59,106749.47,107906.8,226280.24,27.93
2017-06-30,22.4,23.12,22.6,22.08,67181.63,0.17,0.76,22.764,23.793,26.815,94352.34,107977.16,251875.14,13.44
2017-06-23,23.4,23.78,22.43,21.9,84080.38,-1.05,-4.47,22.76,24.056,27.082,106044.43,114681.87,289340.38,16.82
2017-06-16,23.1,23.85,23.48,22.15,110247.41,0.06,0.26,23.262,24.444,27.194,112213.49,122664.45,288818.73,22.05
2017-06-09,22.13,24.19,23.42,21.85,132597.39,1.53,6.99,23.488,24.997,27.282,114192.68,124243.18,318258.67,26.52
2017-06-02,23.45,23.8,21.89,20.88,77654.91,-0.69,-3.06,23.926,25.627,27.456,109064.12,149076.23,322036.29,15.53
2017-05-26,24.98,25.33,22.58,21.41,125642.05,-2.36,-9.46,24.822,26.843,27.197,121601.98,183522.88,318163.73,25.13
2017-05-19,24.8,25.68,24.94,23.83,114925.7,0.33,1.34,25.352,27.803,27.44,123319.31,220225.86,328296.45,22.99
2017-05-12,25.4,25.4,24.61,23.6,120143.34,-1.0,-3.9,25.626,28.541,27.579,133115.42,277824.19,340150.38,24.03
2017-05-05,26.4,26.88,25.61,25.52,106954.59,-0.76,-2.88,26.506,29.162,27.754,134293.69,313954.33,353091.97,21.39
2017-04-28,25.0,26.54,26.37,24.08,140344.23,1.14,4.52,27.328,29.582,27.888,189088.35,344653.68,368475.55,28.07
2017-04-21,24.99,25.85,25.23,24.38,134228.7,-1.08,-4.11,28.864,29.836,27.989,245443.78,395773.12,383684.31,26.85
2017-04-14,28.81,28.81,26.31,26.01,163906.22,-2.7,-9.31,30.254,30.108,28.186,317132.4,463998.88,401502.57,32.78
2017-04-07,29.54,30.88,29.01,28.68,126034.7,-0.71,-2.39,31.456,29.943,28.33,422532.97,454973.01,419779.21,25.21
2017-03-31,34.43,35.4,29.72,29.14,380927.91,-4.33,-12.72,31.818,29.566,28.273,493614.97,512274.15,444257.92,76.19
2017-03-24,31.7,34.63,34.05,31.65,422121.38,1.87,5.81,31.836,29.285,28.142,500219.0,494996.35,450015.19,84.42
2017-03-17,32.37,34.62,32.18,31.5,492671.81,-0.14,-0.43,30.808,27.551,27.551,546102.45,452804.57,452804.57,98.53
2017-03-10,31.0,35.23,32.32,30.6,690909.06,1.5,4.87,29.962,27.037,27.037,610865.36,448374.88,448374.88,138.18
2017-03-03,29.41,31.26,30.82,29.4,481444.69,1.01,3.39,28.43,26.376,26.376,487413.05,418058.1,418058.1,96.29
2017-02-24,28.2,30.5,29.81,26.92,413948.06,0.9,3.11,27.314,25.741,25.741,530933.33,409002.88,409002.88,82.79
2017-02-17,27.8,32.28,28.91,27.4,651538.62,0.96,3.44,26.734,25.063,25.063,489773.69,408178.68,408178.68,130.31
2017-02-10,25.15,30.58,27.95,25.15,816486.38,3.29,13.34,24.294,24.294,24.294,359506.69,359506.69,359506.69,163.3
2017-02-03,25.1,25.2,24.66,24.52,73647.48,-0.58,-2.3,23.38,23.38,23.38,245261.77,245261.77,245261.77,14.73
2017-01-26,27.8,28.48,25.24,23.4,699046.12,-1.67,-6.21,22.953,22.953,22.953,302466.53,302466.53,302466.53,139.81
2017-01-20,18.38,26.91,26.91,18.38,208149.86,10.2,61.04,21.81,21.81,21.81,104176.74,104176.74,104176.74,41.63
2017-01-13,12.49,16.71,16.71,12.49,203.62,4.22,44.0,16.71,16.71,16.71,203.62,203.62,203.62,0.04
