date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,7.83,7.83,7.8,7.56,0.0,-0.04,-0.51,7.896,8.691,9.722,0.0,112128.65,341181.68,0.0
2017-12-08,7.84,8.01,7.84,7.34,0.0,0.0,0.0,8.084,8.928,9.828,23900.78,135552.71,346669.16,0.0
2017-12-01,7.99,8.25,7.84,7.78,0.0,-0.15,-1.88,8.262,9.173,9.95,86014.01,172034.22,353456.88,0.0
2017-11-24,8.01,8.12,7.99,7.71,0.0,-0.02,-0.25,8.67,9.466,10.078,122986.08,261319.8,361266.72,0.0
2017-11-17,8.68,8.68,8.01,8.0,0.0,-0.73,-8.35,8.998,9.796,10.173,179911.4,306157.75,364818.12,0.0
2017-11-10,8.7,8.9,8.74,8.42,119503.88,0.01,0.12,9.486,10.163,10.268,224257.3,379721.3,370454.99,3.41
2017-11-03,9.8,9.87,8.73,8.7,310566.16,-1.15,-11.64,9.772,10.434,10.327,247204.64,493318.14,369078.66,8.85
2017-10-27,9.65,9.97,9.88,9.5,184860.38,0.25,2.6,10.084,10.682,10.389,258054.42,498604.59,359328.09,5.27
2017-10-20,10.45,10.48,9.63,9.45,284626.56,-0.82,-7.85,10.262,10.691,10.391,399653.51,535367.29,358601.59,8.11
2017-10-13,10.28,10.54,10.45,10.24,221729.53,0.28,2.75,10.594,10.79,10.444,432404.11,570320.02,357456.49,6.32
2017-09-29,10.22,10.51,10.17,10.08,234240.58,-0.12,-1.17,10.84,10.752,10.472,535185.3,570234.71,364897.52,6.67
2017-09-22,10.76,10.91,10.29,10.28,364815.06,-0.48,-4.46,11.096,10.727,10.474,739431.64,557785.62,374688.45,10.4
2017-09-15,11.4,11.95,10.77,10.57,892855.81,-0.52,-4.61,11.28,10.727,10.482,739154.76,534879.54,365926.22,25.44
2017-09-08,11.53,11.82,11.29,11.24,448379.56,-0.39,-3.34,11.12,10.689,10.473,671081.08,461213.65,336300.83,12.78
2017-09-01,11.34,12.1,11.68,11.25,735635.5,0.23,2.01,10.986,10.549,10.423,708235.93,423478.49,330508.82,20.96
2017-08-25,11.88,12.33,11.45,11.25,1255472.25,0.24,2.14,10.664,10.373,10.343,605284.12,361188.67,306782.87,35.78
2017-08-18,9.85,11.21,11.21,9.82,363430.69,1.24,12.44,10.358,10.22,10.261,376139.6,244839.18,248862.71,10.36
2017-08-11,10.65,11.1,9.97,9.9,552487.38,-0.65,-6.12,10.174,10.096,10.179,330604.31,220051.59,242415.43,15.74
2017-08-04,9.98,11.12,10.62,9.9,634153.81,0.55,5.46,10.258,10.09,10.184,251346.23,181835.88,223676.78,18.07
2017-07-28,9.92,10.6,10.07,9.7,220876.47,0.15,1.51,10.112,10.097,10.161,138721.06,144592.96,198702.97,6.29
2017-07-21,10.26,10.33,9.92,9.3,109749.66,-0.37,-3.6,10.082,10.192,10.168,117093.22,159560.32,196570.45,3.13
2017-07-14,10.34,10.4,10.29,10.05,135754.23,-0.1,-0.96,10.082,10.221,10.18,113538.76,191591.28,213750.01,3.87
2017-07-07,9.89,10.42,10.39,9.86,156196.97,0.5,5.06,10.018,10.236,10.195,109498.87,196972.91,222752.0,4.45
2017-06-30,9.85,10.01,9.89,9.8,71027.98,-0.03,-0.3,9.922,10.257,10.194,112325.54,211388.0,230624.38,2.02
2017-06-23,9.91,10.2,9.92,9.62,112737.24,0.0,0.0,10.082,10.297,10.233,150464.87,237539.15,239371.14,3.21
2017-06-16,9.96,10.0,9.92,9.69,91977.4,-0.05,-0.5,10.302,10.313,10.247,202027.43,252377.06,235145.99,2.62
2017-06-09,9.9,10.25,9.97,9.68,115554.77,0.06,0.6,10.36,10.301,10.261,269643.81,252886.25,236130.27,3.29
2017-06-02,10.76,10.84,9.91,9.58,170330.3,-0.78,-7.3,10.454,10.262,10.265,284446.94,264779.28,247395.45,4.85
2017-05-26,10.88,11.07,10.69,10.32,261724.62,-0.33,-3.0,10.592,10.277,10.287,310450.47,265517.68,265618.76,7.46
2017-05-19,10.02,11.2,11.02,10.01,370550.06,0.81,7.93,10.512,10.225,10.313,324613.43,252812.97,290164.94,10.56
2017-05-12,10.44,11.08,10.21,10.1,430059.28,-0.23,-2.2,10.324,10.144,10.293,302726.7,233580.59,298049.14,12.25
2017-05-05,10.59,10.77,10.44,10.35,189570.44,-0.16,-1.51,10.242,10.139,10.291,236128.68,235908.74,314411.76,5.4
2017-04-28,10.25,10.67,10.6,9.8,300347.94,0.31,3.01,10.07,10.153,10.29,245111.61,248531.1,317771.21,8.56
2017-04-21,10.04,10.32,10.29,9.59,332539.44,0.21,2.08,9.962,10.131,10.259,220584.89,249860.75,309984.81,9.48
2017-04-14,9.81,10.15,10.08,9.62,261116.38,0.28,2.86,9.938,10.168,10.24,181012.5,241203.13,307699.04,7.44
2017-04-07,9.6,9.9,9.8,9.57,97069.22,0.22,2.3,9.964,10.18,10.262,164434.47,217914.91,310508.91,2.77
2017-03-31,10.06,10.12,9.58,9.4,234485.09,-0.48,-4.77,10.036,10.22,10.293,235688.79,219374.29,323787.98,6.68
2017-03-24,10.21,10.38,10.06,9.95,177714.3,-0.11,-1.08,10.236,10.268,10.341,251950.58,230011.63,337946.29,5.06
2017-03-17,10.19,10.36,10.17,10.04,134677.53,-0.04,-0.39,10.3,10.297,10.332,279136.62,265719.85,345837.74,3.84
2017-03-10,10.15,10.43,10.21,10.14,178226.23,0.05,0.49,10.398,10.4,10.299,301393.75,327516.91,353988.93,5.08
2017-03-03,10.5,10.98,10.16,10.05,453340.78,-0.42,-3.97,10.396,10.442,10.273,271395.34,362517.7,371264.01,12.92
2017-02-24,10.38,10.83,10.58,10.29,315794.06,0.2,1.93,10.404,10.442,10.235,203059.8,392914.78,367338.41,9.0
