date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-15,12.51,12.55,12.41,12.23,0.0,-0.01,-0.08,12.582,13.236,13.58,0.0,153577.09,265665.21,0.0
2017-12-08,12.49,12.52,12.42,11.47,0.0,-0.08,-0.64,12.904,13.437,13.597,44030.8,209315.04,284361.81,0.0
2017-12-01,12.45,12.54,12.5,12.21,0.0,0.05,0.4,13.036,13.656,13.675,81005.03,274452.96,300085.06,0.0
2017-11-24,13.08,13.08,12.45,12.38,0.0,-0.68,-5.18,13.276,13.779,13.773,127392.93,297546.19,321746.6,0.0
2017-11-17,13.99,14.38,13.13,12.96,0.0,-0.89,-6.35,13.564,13.925,13.851,192796.46,330391.39,332986.66,0.0
2017-11-10,13.18,14.32,14.02,13.06,220154.0,0.94,7.19,13.89,14.008,13.877,307154.19,356739.06,348697.67,4.96
2017-11-03,13.69,13.71,13.08,13.0,184871.17,-0.62,-4.53,13.97,14.003,13.873,374599.29,369773.31,352401.86,4.17
2017-10-27,13.86,13.98,13.7,13.4,231939.48,-0.19,-1.37,14.276,14.089,13.9,467900.88,382475.1,356543.15,5.23
2017-10-20,14.79,14.87,13.89,13.57,327017.66,-0.87,-5.89,14.282,14.081,13.877,467699.44,407297.66,350780.37,7.37
2017-10-13,14.6,15.18,14.76,14.51,571788.62,0.34,2.36,14.286,14.065,13.856,467986.32,407901.71,346576.22,12.89
2017-09-29,14.62,14.66,14.42,14.03,557379.5,-0.19,-1.3,14.126,13.924,13.797,406323.93,377753.32,328421.35,12.57
2017-09-22,13.68,14.67,14.61,13.63,651379.12,0.88,6.41,14.036,13.756,13.74,364947.33,359408.58,311426.43,14.69
2017-09-15,13.86,13.95,13.73,13.7,230932.3,-0.18,-1.29,13.902,13.693,13.691,297049.32,325717.17,287145.76,5.21
2017-09-08,13.97,14.13,13.91,13.8,328452.06,-0.05,-0.36,13.88,13.767,13.69,346895.88,345947.02,291644.37,7.41
2017-09-01,14.02,14.22,13.96,13.88,263476.69,-0.01,-0.07,13.844,13.777,13.698,347817.1,335581.93,293982.78,5.94
2017-08-25,13.93,14.54,13.97,13.78,350496.5,0.03,0.21,13.722,13.745,13.751,349182.71,340656.27,305920.75,7.9
2017-08-18,13.61,14.18,13.94,13.59,311889.03,0.32,2.35,13.476,13.742,13.852,353869.82,335030.4,304760.9,7.03
2017-08-11,13.75,14.22,13.62,13.6,480165.12,-0.11,-0.8,13.484,13.711,13.948,354385.03,330611.21,355353.68,10.83
2017-08-04,13.34,13.97,13.73,12.92,333058.16,0.38,2.85,13.654,13.673,14.192,344998.17,294263.07,380425.07,7.51
2017-07-28,12.73,13.56,13.35,12.72,270304.75,0.61,4.79,13.71,13.646,14.406,323346.76,285250.73,414330.63,6.1
2017-07-21,13.88,14.0,12.74,12.48,373932.06,-1.24,-8.87,13.768,13.67,14.677,332129.83,279089.37,482791.99,8.43
2017-07-14,14.4,14.68,13.98,13.89,314465.06,-0.49,-3.39,14.008,13.724,15.01,316190.98,263444.28,558210.49,7.09
2017-07-07,14.07,14.69,14.47,13.83,433230.81,0.46,3.28,13.938,13.688,15.268,306837.39,248574.35,585199.89,9.77
2017-06-30,13.58,14.04,14.01,13.54,224801.12,0.37,2.71,13.692,13.612,15.357,243527.98,237341.71,571441.37,5.07
2017-06-23,13.98,14.22,13.64,13.33,314220.12,-0.3,-2.15,13.582,13.619,15.485,247154.7,252383.63,569952.19,7.09
2017-06-16,13.55,14.17,13.94,13.21,294237.78,0.31,2.27,13.572,13.756,15.602,226048.91,271185.22,555072.42,6.63
2017-06-09,13.24,13.73,13.63,13.14,267697.12,0.39,2.95,13.44,13.962,15.713,210697.58,274491.41,545904.5,6.04
2017-06-02,13.66,13.74,13.24,12.9,116683.74,-0.22,-1.63,13.438,14.185,15.814,190311.32,380096.16,540139.18,2.63
2017-05-26,13.6,13.76,13.46,12.8,242934.72,-0.13,-0.96,13.532,14.711,15.937,231155.45,466587.07,542163.05,5.48
2017-05-19,13.39,13.91,13.59,13.0,208691.19,0.31,2.33,13.656,15.165,16.082,257612.57,543410.53,536154.07,4.71
2017-05-12,13.59,13.88,13.28,12.8,217481.11,-0.34,-2.5,13.94,15.683,16.227,316321.54,686494.61,531016.85,4.9
2017-05-05,13.67,14.08,13.62,13.61,165765.83,-0.09,-0.66,14.484,16.295,16.383,338285.24,852976.71,530532.93,3.74
2017-04-28,14.01,14.03,13.71,12.72,320904.41,-0.37,-2.63,14.932,16.847,16.517,569881.0,921825.43,536846.94,7.24
2017-04-21,14.9,14.94,14.08,13.68,375220.31,-0.93,-6.2,15.89,17.101,16.661,702018.69,905541.03,543599.06,8.46
2017-04-14,15.98,16.06,15.01,14.8,502236.03,-0.99,-6.19,16.674,17.35,16.846,829208.49,887520.74,540814.86,11.32
2017-04-07,15.63,16.19,16.0,15.51,327299.62,0.14,0.88,17.426,17.447,17.0,1056667.69,838959.62,531262.4,7.38
2017-03-31,18.5,19.18,15.86,15.18,1323744.62,-2.64,-14.27,18.106,17.463,17.115,1367668.19,817317.59,528501.23,29.85
2017-03-24,18.0,19.02,18.5,17.83,981592.88,0.5,2.78,18.762,17.442,17.264,1273769.86,700182.2,483212.54,22.13
2017-03-17,18.75,18.89,18.0,17.95,1011169.31,-0.77,-4.1,18.312,17.162,17.229,1109063.37,617739.03,450865.25,22.8
2017-03-10,19.94,19.97,18.77,18.46,1639532.0,-0.63,-3.25,18.026,16.998,17.225,945832.98,528897.61,416154.95,36.97
2017-03-03,19.33,20.44,19.4,17.4,1882302.12,0.26,1.36,17.468,16.771,17.189,621251.56,375539.1,354266.52,42.44
2017-02-24,16.35,19.57,19.14,16.3,854253.0,2.89,17.79,16.82,16.47,17.156,266966.99,208089.14,279873.39,19.26
2017-02-17,16.57,16.66,16.25,16.11,158060.41,-0.32,-1.93,16.122,16.186,17.137,126594.53,151868.46,254883.94,3.56
2017-02-10,16.0,16.65,16.57,16.0,195017.38,0.59,3.69,16.012,16.22,17.222,126414.69,181657.08,254763.65,4.4
2017-02-03,16.16,16.16,15.98,15.93,16624.88,-0.18,-1.11,15.97,16.341,17.319,111962.24,194108.97,262554.64,0.37
2017-01-26,15.65,16.25,16.16,15.65,110879.3,0.51,3.26,16.074,16.553,17.47,129826.64,223565.17,276123.99,2.5
2017-01-20,15.7,15.73,15.65,14.81,152390.7,-0.05,-0.32,16.12,16.766,17.622,149211.29,239684.88,293665.77,3.44
2017-01-13,16.36,16.6,15.7,15.69,157161.17,-0.66,-4.03,16.25,17.086,17.859,177142.38,266242.88,306469.01,3.54
2017-01-06,16.48,16.75,16.36,16.27,122755.13,-0.14,-0.85,16.428,17.295,18.04,236899.48,283991.47,319085.86,2.77
2016-12-30,16.35,16.68,16.5,16.1,105946.88,0.11,0.67,16.712,17.452,18.202,276255.71,303412.28,340045.78,2.39
2016-12-23,16.26,16.93,16.39,16.11,207802.55,0.09,0.55,17.032,17.607,18.327,317303.71,332993.94,357886.71,4.69
2016-12-16,16.67,16.76,16.3,15.71,292046.16,-0.29,-1.75,17.412,17.841,18.494,330158.46,351657.63,382653.36,6.59
2016-12-09,17.7,17.7,16.59,16.01,455946.69,-1.19,-6.69,17.922,18.087,18.711,355343.39,357899.42,426819.06,10.28
