date,open,high,close,low,volume,amount
2017-09-19,23.42,23.62,23.03,22.6,5366111.0,123527510.0
2017-09-18,23.02,23.48,23.41,22.73,4170213.0,96675038.0
2017-09-15,23.29,23.3,23.06,22.63,3336544.0,76697206.0
2017-09-14,23.15,23.52,23.28,22.9,4965458.0,115238553.0
2017-09-13,23.06,23.46,23.05,22.5,7167971.0,164173252.0
2017-09-12,24.15,24.29,23.18,22.97,10326350.0,243858766.0
2017-09-11,23.86,24.4,24.37,23.33,7339516.0,174647054.0
2017-09-08,23.62,24.13,23.88,23.04,6928747.0,163803021.0
2017-09-07,23.55,24.16,23.53,23.4,7292477.0,173567415.0
2017-09-06,23.8,24.07,23.8,23.23,9003799.0,212922948.0
2017-09-05,23.1,24.55,23.53,22.82,17898566.0,424950004.0
2017-09-04,22.22,23.85,23.22,22.22,15641823.0,359398833.0
2017-09-01,21.05,21.99,21.99,20.82,10498067.0,224049279.0
2017-08-31,20.45,21.38,21.06,20.34,10031055.0,209893136.0
2017-08-30,20.43,20.63,20.45,20.2,4269647.0,87293233.0
2017-08-29,20.33,20.73,20.28,20.24,3314709.0,67784867.0
2017-08-28,19.9,20.7,20.33,19.8,4739171.0,96381087.0
2017-08-25,19.85,19.97,19.74,19.53,2641740.0,52242107.0
2017-08-24,19.99,20.15,19.66,19.6,3614197.0,71503514.0
2017-08-23,20.05,20.18,20.03,19.79,3631088.0,72535665.0
2017-08-22,20.41,20.63,20.05,19.9,6342528.0,128398245.0
2017-08-21,20.88,21.41,20.5,20.32,7094247.0,147061037.0
2017-08-18,19.89,20.85,20.65,19.81,8379373.0,171383061.0
2017-08-17,19.84,20.17,19.91,19.71,3442220.0,68792115.0
2017-08-16,20.2,20.42,20.0,19.88,5939002.0,119346382.0
2017-08-15,20.16,20.93,20.42,20.11,7857650.0,161197550.0
2017-08-14,20.01,20.4,20.16,19.83,6278638.0,125944921.0
2017-08-11,19.7,20.0,19.72,19.26,6283930.0,123160009.0
2017-08-10,19.2,19.96,19.9,19.0,5778783.0,112881247.0
2017-08-10,19.2,19.96,19.9,19.0,5778783.0,112881247.0
2017-08-09,19.55,19.55,19.07,19.07,2745200.0,52737385.0
2017-08-08,19.95,19.95,19.54,19.4,2051799.0,40181701.0
2017-08-07,19.68,20.16,19.88,19.45,2206789.0,43813866.0
2017-08-04,20.09,20.1,19.67,19.5,3165840.0,62477308.0
2017-08-03,19.49,20.08,19.84,19.49,3648364.0,72460626.0
2017-08-02,18.73,20.08,19.68,18.73,5882264.0,114773073.0
2017-08-01,18.9,18.95,18.83,18.5,1748765.0,32659440.0
2017-07-31,18.87,18.94,18.7,18.62,1911314.0,35905972.0
2017-07-28,18.78,19.0,18.96,18.65,2280528.0,42995651.0
2017-07-27,18.45,19.08,18.96,18.2,4181796.0,78545490.0
2017-07-26,18.67,18.85,18.5,17.99,3192244.0,58585778.0
2017-07-25,18.65,18.97,18.79,18.42,1999100.0,37357655.0
2017-07-24,18.28,18.89,18.73,18.1,2779371.0,51396376.0
2017-07-21,18.51,18.74,18.27,18.0,1959971.0,35878622.0
2017-07-20,18.27,18.8,18.45,18.2,2438976.0,45296698.0
2017-07-19,18.42,18.6,18.28,17.89,3915324.0,71069622.0
2017-07-18,18.5,18.66,18.53,18.25,2141056.0,39594361.0
2017-07-17,19.26,19.26,18.19,18.1,3556637.0,65873357.0
2017-07-14,19.4,19.62,19.26,19.19,1450338.0,28170187.0
2017-07-13,19.65,19.87,19.43,19.37,1773002.0,34631843.0
2017-07-12,19.03,19.78,19.66,19.03,3267159.0,63990327.0
2017-07-11,20.11,20.14,19.25,19.2,4243248.0,83283531.0
2017-07-10,20.25,20.4,20.1,20.02,2621388.0,52822321.0
2017-07-07,20.4,20.9,20.47,19.86,4491091.0,91084817.0
2017-07-06,20.16,21.36,20.49,20.16,7521985.0,155195038.0
2017-07-05,20.46,20.65,20.08,19.98,5965545.0,120701172.0
2017-07-04,19.9,20.17,20.0,19.68,2836421.0,56646118.0
2017-07-03,19.7,19.95,19.78,19.51,937527.0,18552696.0
2017-06-30,19.5,19.89,19.7,19.37,1172792.0,23107186.0
2017-06-29,19.88,19.88,19.47,19.2,1282913.0,24960883.0
2017-06-28,19.65,20.1,19.64,19.55,1586488.0,31420128.0
2017-06-27,20.18,20.18,19.65,19.58,2106926.0,41656327.0
2017-06-26,19.55,20.18,20.0,19.4,2282031.0,45477405.0
2017-06-23,19.7,19.71,19.6,19.08,1816504.0,35089339.0
2017-06-22,19.85,20.44,19.45,19.38,4276142.0,85016810.0
2017-06-21,19.03,20.35,20.11,19.03,3683396.0,71662485.0
2017-06-20,19.2,19.3,19.13,19.03,1053032.0,20161446.0
2017-06-19,19.16,19.33,19.14,18.99,906954.0,17301673.0
2017-06-16,19.42,19.42,19.1,19.05,840149.0,16118542.0
2017-06-15,18.95,19.41,19.41,18.57,3276614.0,62845345.0
2017-06-14,18.02,18.97,18.9,18.02,5121670.0,95494795.0
2017-06-13,18.23,18.23,18.09,17.68,3469817.0,62403958.0
2017-06-12,18.01,18.27,18.07,17.41,3657276.0,65404344.0
2017-06-09,18.45,18.45,18.12,18.01,1451912.0,26381585.0
2017-06-08,18.8,18.86,18.43,18.22,2499160.0,46260283.0
2017-06-07,18.66,18.88,18.8,18.41,2090643.0,39043039.0
2017-06-06,18.87,18.87,18.52,18.3,409286.0,7593270.0
2017-06-05,18.55,18.95,18.57,18.31,951165.0,35588154.0
2017-06-02,18.0,18.49,18.42,17.81,680835.0,24873533.0
2017-06-01,18.01,18.34,18.0,17.86,918440.0,33155579.0
2017-05-31,18.67,18.86,18.13,18.08,1226652.0,45228117.0
2017-05-26,18.6,18.6,18.49,18.38,271982.0,10064600.0
2017-05-25,18.6,18.65,18.52,18.25,637637.0,23522788.0
2017-05-24,18.47,18.59,18.5,18.29,668943.0,24736905.0
2017-05-23,18.84,18.9,18.51,18.43,535358.0,19989194.0
2017-05-22,19.01,19.5,18.79,18.56,704749.0,26721948.0
2017-05-19,19.42,19.59,19.1,19.1,760666.0,29602266.0
2017-05-18,19.1,19.44,19.42,19.05,601953.0,23336903.0
2017-05-17,19.3,19.35,19.2,19.2,626565.0,24229296.0
2017-05-16,18.94,19.34,19.3,18.75,751955.0,28727472.0
2017-05-15,18.65,19.18,18.94,18.65,716124.0,27184788.0
2017-05-12,18.7,18.97,18.74,18.56,647404.0,24441403.0
2017-05-11,18.5,18.85,18.69,18.25,1063729.0,39550275.0
2017-05-10,18.92,19.12,18.8,18.45,988497.0,37136998.0
2017-05-09,19.45,19.45,18.92,18.29,1554786.0,58445540.0
2017-05-08,19.4,19.61,19.48,19.15,1091489.0,42439920.0
2017-05-05,19.04,19.3,19.19,18.91,865945.0,33140816.0
2017-05-04,19.1,19.28,19.05,18.87,707737.0,27136432.0
2017-05-03,19.26,19.62,19.1,19.04,1212671.0,47136580.0
