date,open,high,close,low,volume,amount
2017-12-08,7.22,7.48,7.4,7.19,3309430.0,24374236.0
2017-12-07,7.19,7.31,7.24,7.19,2330030.0,16915647.0
2017-12-06,7.15,7.27,7.24,7.05,3157650.0,22569096.0
2017-12-05,7.48,7.48,7.2,7.14,4109600.0,30089252.0
2017-12-04,7.3,7.66,7.48,7.26,7680745.0,57858321.0
2017-12-01,7.22,7.39,7.28,7.19,2717600.0,19851332.0
2017-11-30,7.27,7.32,7.23,7.17,1902117.0,13807068.0
2017-11-29,7.31,7.35,7.26,7.18,3123950.0,22660607.0
2017-11-28,7.2,7.39,7.33,7.16,3392308.0,24665056.0
2017-11-27,7.15,7.28,7.21,7.08,2721408.0,19555238.0
2017-11-24,7.33,7.33,7.19,7.08,3949819.0,28305048.0
2017-11-23,7.39,7.39,7.33,7.27,3285652.0,24068285.0
2017-11-22,7.48,7.53,7.39,7.31,3617750.0,26762764.0
2017-11-21,7.64,7.69,7.48,7.41,3237605.0,24372468.0
2017-11-20,7.5,7.62,7.62,7.22,3367442.0,25152965.0
2017-11-17,8.17,8.18,7.49,7.45,8298802.0,64530076.0
2017-11-16,8.13,8.21,8.1,8.03,3251650.0,26378489.0
2017-11-15,8.25,8.31,8.13,8.12,3103300.0,25480138.0
2017-11-14,8.2,8.38,8.32,8.13,4890750.0,40478516.0
2017-11-13,8.45,8.47,8.24,8.21,4653900.0,38524454.0
2017-11-10,8.54,8.57,8.38,8.35,5368697.0,45443167.0
2017-11-09,8.4,8.56,8.49,8.4,3648950.0,30989874.0
2017-11-08,8.41,8.63,8.43,8.4,5155451.0,43873151.0
2017-11-07,8.27,8.68,8.5,8.18,6356369.0,53467672.0
2017-11-06,8.21,8.27,8.25,8.0,4084892.0,33220679.0
2017-11-03,8.4,8.54,8.18,8.08,5752093.0,47720543.0
2017-11-02,8.68,8.71,8.4,8.4,5416850.0,46110361.0
2017-11-01,8.83,8.87,8.7,8.66,4394750.0,38455828.0
2017-10-31,8.64,8.93,8.88,8.62,5550000.0,48896915.0
2017-10-30,8.77,8.78,8.7,8.38,7483772.0,63930074.0
2017-10-27,8.76,8.89,8.72,8.68,3934603.0,34538153.0
2017-10-26,8.92,8.93,8.75,8.73,6281400.0,55457408.0
2017-10-25,8.95,9.0,8.91,8.85,3905503.0,34842192.0
2017-10-24,9.06,9.07,8.91,8.8,6790598.0,60348582.0
2017-10-23,8.92,9.2,9.09,8.88,10348402.0,93930242.0
2017-10-20,8.43,8.93,8.91,8.43,9088333.0,79401341.0
2017-10-19,8.8,8.8,8.48,8.33,10387329.0,88805144.0
2017-10-18,9.22,9.29,8.81,8.8,9403451.0,85209215.0
2017-10-17,9.01,9.42,9.31,8.93,8637825.0,79524218.0
2017-10-16,9.31,9.42,9.11,9.02,7111727.0,65512242.0
2017-10-13,9.29,9.34,9.21,9.13,6579653.0,60821855.0
2017-10-12,9.2,9.33,9.26,9.1,9539695.0,88205210.0
2017-10-11,9.02,9.33,9.27,8.96,13699988.0,125925656.0
2017-10-10,8.84,9.04,9.03,8.81,5498140.0,49131793.0
2017-10-09,8.79,8.94,8.84,8.72,5297974.0,46853209.0
2017-09-29,8.61,8.69,8.67,8.58,4327121.0,37459486.0
2017-09-28,8.91,8.91,8.6,8.6,8501568.0,74254006.0
2017-09-27,8.87,8.96,8.89,8.81,5071829.0,45096609.0
2017-09-26,8.83,8.94,8.9,8.78,4796854.0,42571267.0
2017-09-25,9.22,9.27,8.84,8.77,11223287.0,100653602.0
2017-09-22,9.19,9.29,9.22,9.12,6987950.0,64435346.0
2017-09-21,9.58,9.74,9.21,9.21,11132582.0,105327145.0
2017-09-20,9.74,9.74,9.65,9.55,12044101.0,115911842.0
2017-09-19,9.42,9.83,9.8,9.33,16593482.0,159899386.0
2017-09-18,9.49,9.54,9.42,9.27,9302145.0,87307592.0
2017-09-15,9.65,9.67,9.49,9.36,9646650.0,91477188.0
2017-09-14,9.74,9.85,9.65,9.58,9248551.0,89832209.0
2017-09-13,9.77,9.89,9.7,9.6,10849000.0,105322131.0
2017-09-12,10.08,10.08,9.8,9.74,17174003.0,169321847.0
2017-09-11,10.03,10.15,10.14,9.8,17623127.0,175319098.0
2017-09-08,9.62,10.15,10.03,9.62,27762418.0,276143842.0
2017-09-07,9.71,9.8,9.62,9.56,12117103.0,116847679.0
2017-09-06,9.62,9.87,9.81,9.53,19532932.0,189379760.0
2017-09-05,9.3,9.89,9.77,9.22,31360366.0,301676329.0
2017-09-04,9.1,9.28,9.28,9.03,9517698.0,87578155.0
2017-09-01,9.26,9.27,9.1,9.02,11343725.0,103427608.0
2017-08-31,9.37,9.39,9.28,9.18,10068070.0,93113996.0
2017-08-30,9.48,9.49,9.33,9.3,10483450.0,98119868.0
