date,open,high,close,low,volume,amount
2017-12-08,14.37,14.97,14.67,14.34,1793728.0,26230192.0
2017-12-07,14.37,14.55,14.37,14.22,1352100.0,19469274.0
2017-12-06,14.42,14.62,14.49,13.9,1881641.0,26882991.0
2017-12-05,15.09,15.4,14.35,14.08,2146059.0,31561506.0
2017-12-04,16.2,16.2,15.21,15.12,2458390.0,38231402.0
2017-12-01,16.19,16.37,16.21,16.04,1149100.0,18607342.0
2017-11-30,16.46,16.5,16.19,16.14,1456650.0,23722689.0
2017-11-29,16.14,16.46,16.43,16.1,1818650.0,29666033.0
2017-11-28,16.05,16.19,16.14,15.88,1188850.0,19117491.0
2017-11-27,16.14,16.36,15.89,15.88,1407850.0,22755833.0
2017-11-24,15.85,16.34,16.14,15.71,1759700.0,28350085.0
2017-11-23,16.9,16.9,15.85,15.79,3122550.0,50938722.0
2017-11-22,17.24,17.4,16.92,16.62,2615769.0,44172502.0
2017-11-21,17.5,17.85,17.16,17.03,2701350.0,46992544.0
2017-11-20,17.69,17.99,17.51,16.6,3358545.0,58358189.0
2017-11-17,20.0,20.15,18.23,18.23,6774376.0,128116047.0
2017-11-16,19.71,20.57,20.26,19.46,8657268.0,174604058.0
2017-11-15,19.92,20.1,19.61,19.36,5052941.0,99512326.0
2017-11-14,19.33,20.32,20.2,19.03,10220175.0,201984941.0
2017-11-13,18.7,19.7,19.48,18.42,5549935.0,105416411.0
2017-11-10,18.21,19.03,18.85,18.08,4336035.0,80448159.0
2017-11-09,18.61,18.68,18.32,18.02,3641750.0,66949688.0
2017-11-08,18.65,19.08,18.73,18.52,3491188.0,65588137.0
2017-11-07,18.8,18.8,18.71,18.38,2556890.0,47575851.0
2017-11-06,18.6,18.98,18.9,18.5,2899278.0,54411171.0
2017-11-03,18.18,18.81,18.76,18.18,3084567.0,57046075.0
2017-11-02,19.13,19.25,18.49,18.41,4001660.0,75214015.0
2017-11-01,19.2,19.46,19.33,18.76,4841000.0,92764739.0
2017-10-31,18.3,19.3,19.27,18.29,4971149.0,93678578.0
2017-10-30,19.69,19.85,18.48,18.09,5113950.0,95754100.0
2017-10-27,20.09,20.23,19.66,19.3,7414431.0,146289353.0
2017-10-26,20.84,21.36,20.48,19.91,9572609.0,195853886.0
2017-10-25,20.46,21.68,20.77,20.23,12646132.0,265419368.0
2017-10-24,19.97,21.33,20.8,19.97,14182492.0,293902602.0
2017-10-23,17.95,19.73,19.73,17.8,3641538.0,69751178.0
2017-10-20,17.57,18.01,17.94,17.57,1325553.0,23627648.0
2017-10-19,18.41,18.55,17.58,17.4,2840525.0,50668921.0
2017-10-18,19.11,19.24,18.45,18.31,2332650.0,43743350.0
2017-10-17,18.72,19.22,19.11,18.72,1953133.0,37145753.0
2017-10-16,19.81,20.15,18.92,18.88,3851393.0,75795248.0
2017-10-13,19.47,19.9,19.85,19.46,2849984.0,56192401.0
2017-10-12,19.79,19.98,19.47,19.2,2455741.0,48111939.0
2017-10-11,19.5,19.95,19.68,19.2,3363803.0,65866934.0
2017-10-10,18.99,19.98,19.61,18.87,4056276.0,78959337.0
2017-10-09,18.99,19.2,18.85,18.75,1478951.0,27904786.0
2017-09-29,18.3,18.86,18.66,18.13,1878701.0,34889069.0
2017-09-28,18.59,18.97,18.29,18.25,2048803.0,38347935.0
2017-09-27,18.32,18.67,18.54,18.17,1991600.0,36823567.0
2017-09-26,19.0,19.24,18.33,18.06,3714250.0,68540861.0
2017-09-25,19.58,19.95,19.12,19.0,2365451.0,46168880.0
2017-09-22,20.19,20.19,19.6,19.45,3868353.0,76295732.0
2017-09-21,20.06,20.88,20.3,20.06,4551303.0,93457797.0
2017-09-20,20.32,20.62,20.29,20.0,3055750.0,61878639.0
2017-09-19,20.02,20.79,20.46,19.9,4969800.0,101448958.0
2017-09-18,19.8,20.24,20.0,19.6,2535366.0,50546511.0
2017-09-15,20.27,20.45,19.93,19.9,3169750.0,63780649.0
2017-09-14,20.16,20.88,20.47,19.9,5299138.0,108332826.0
2017-09-13,20.26,20.75,20.47,19.64,4547421.0,91879139.0
2017-09-12,21.01,21.23,20.23,20.11,7261603.0,149911007.0
2017-09-11,20.56,21.54,21.31,20.13,9324742.0,193003519.0
2017-09-08,20.0,21.88,20.88,19.53,14957256.0,309489046.0
2017-09-07,18.23,19.99,19.99,18.07,8834124.0,167020572.0
