date,open,high,close,low,volume,amount
2016-04-03,9.94,14.44,14.44,9.94,155973.0,5886942.0
2016-04-10,15.88,19.21,18.01,15.88,39325044.0,2087569254.0
2016-04-17,18.01,20.32,19.37,17.7,71069207.0,3828727072.0
2016-04-24,20.56,21.02,19.35,18.6,36197788.0,1883994144.0
2016-05-01,19.53,20.21,18.89,18.74,25404392.0,1281248784.0
2016-05-08,18.81,19.77,18.78,18.75,20292264.0,1018679584.0
2016-05-15,18.64,18.64,16.55,16.25,16011128.0,717787019.0
2016-05-22,16.52,16.91,15.86,15.27,13802756.0,580606781.0
2016-05-29,15.98,17.19,16.75,15.88,19739813.0,847902935.0
2016-06-05,16.51,18.56,18.04,16.13,29906631.0,1373307752.0
2016-06-12,18.07,20.57,19.34,17.57,22152280.0,1074007568.0
2016-06-19,18.66,19.41,18.8,16.89,29745912.0,1420206989.0
2016-06-26,18.91,19.98,18.77,17.96,35834978.0,1803275516.0
2016-07-03,18.65,21.88,21.54,18.64,48002343.0,2552234918.0
2016-07-10,21.47,24.24,23.7,21.3,63207124.0,3777232821.0
2016-07-17,23.86,25.01,23.66,22.51,41814237.0,2576552824.0
2016-07-24,23.2,23.23,21.85,21.41,21294809.0,1238617545.0
2016-07-31,21.62,22.91,20.52,19.96,18467316.0,1035196547.0
2016-08-07,20.16,20.35,19.56,18.89,10923904.0,561798024.0
2016-08-14,19.46,21.1,20.46,19.05,13157613.0,693952394.0
2016-08-21,18.57,21.16,19.17,18.11,18367834.0,1012896900.0
2016-08-28,19.06,20.0,19.62,18.49,18953287.0,1054882448.0
2016-09-04,19.43,19.86,17.93,17.77,12790963.0,698388201.0
2016-09-11,18.0,18.25,17.92,17.49,7563671.0,393976473.0
2016-09-18,17.69,17.69,17.02,16.9,4209939.0,210842492.0
2016-09-25,17.07,17.65,17.45,17.07,6087060.0,307856380.0
2016-10-02,17.34,17.45,16.88,16.49,5755223.0,280645500.0
2016-10-16,16.93,18.49,18.2,16.93,10178350.0,530629841.0
2016-10-23,18.24,19.66,19.33,17.52,15516708.0,837645267.0
2016-10-30,19.14,20.11,19.62,19.08,18574496.0,1054844686.0
2016-11-06,19.66,21.58,20.66,19.52,52698306.0,3153592881.0
2016-11-13,20.64,21.65,20.59,20.28,35403619.0,2144695955.0
2016-11-20,20.39,21.44,21.44,19.42,35063336.0,2108114621.0
2016-11-27,21.44,24.03,23.45,21.11,64738690.0,4255517647.0
2016-12-04,23.24,25.15,23.3,22.18,47885897.0,3288923203.0
2016-12-11,22.61,23.23,21.31,20.87,29682044.0,1892569801.0
2016-12-18,21.24,32.45,31.88,19.0,32021432.0,1858793315.0
2016-12-25,31.5,32.13,29.9,29.64,15752590.0,917462961.0
2017-01-01,29.54,30.26,29.31,28.8,11570660.0,637910159.0
2017-01-08,29.52,30.13,27.45,27.37,12759004.0,690984148.0
2017-01-15,27.46,27.79,25.21,25.19,12154247.0,599616536.0
2017-01-22,24.96,25.05,24.28,22.68,11562470.0,515668684.0
2017-01-29,24.53,24.88,24.68,23.76,6741293.0,305897143.0
2017-02-05,24.7,24.73,24.28,24.2,1006074.0,45774719.0
2017-02-12,24.37,25.5,24.93,24.32,9122706.0,423363079.0
2017-02-19,24.88,25.52,24.1,24.06,9756567.0,453811468.0
2017-02-26,23.94,25.32,25.21,23.41,10222603.0,467030876.0
2017-03-05,25.17,26.55,26.26,24.88,12375995.0,590888096.0
2017-03-12,26.03,26.46,25.93,25.28,10279791.0,498294520.0
2017-03-19,25.77,27.64,27.09,25.23,16023265.0,796254964.0
2017-03-26,27.11,27.88,27.25,26.5,17041161.0,867322480.0
2017-04-02,26.83,26.83,23.69,23.35,20860114.0,954579853.0
2017-04-09,23.72,24.31,23.79,23.51,7052208.0,315109591.0
2017-04-16,23.66,23.78,22.76,22.28,12622552.0,535998423.0
2017-04-23,22.27,22.27,21.89,21.22,8408052.0,336752085.0
2017-04-30,22.12,22.12,21.01,19.73,10981928.0,425275639.0
2017-05-07,21.09,21.3,20.94,20.31,5804717.0,222853487.0
2017-05-14,20.82,21.18,20.56,19.79,7225060.0,273586149.0
2017-05-21,20.64,21.74,21.2,20.44,5955671.0,232413021.0
2017-05-28,21.2,21.29,19.24,18.51,6264661.0,224762438.0
2017-06-04,19.63,19.8,19.08,18.31,3005998.0,105179513.0
2017-06-11,19.2,20.93,19.88,19.08,8322356.0,243936457.0
2017-06-18,19.63,20.49,20.07,19.03,10271345.0,248880424.0
2017-06-25,20.07,20.37,19.04,18.69,6651182.0,159487942.0
2017-07-02,19.04,19.58,19.07,18.79,4925080.0,114582991.0
2017-07-09,19.08,19.44,19.33,18.97,5875638.0,137611050.0
2017-07-16,19.22,19.25,18.22,18.12,6050962.0,137328473.0
2017-07-23,18.22,18.22,15.87,15.85,10541971.0,210160040.0
2017-07-30,15.78,16.3,16.04,15.47,7343803.0,142483269.0
2017-08-06,16.07,16.32,15.99,15.72,7011654.0,137489025.0
2017-08-13,15.78,20.5,19.63,15.78,14506033.0,292372765.0
2017-08-20,19.64,20.84,20.54,19.64,9029640.0,184192316.0
2017-08-27,20.69,21.57,21.03,20.55,11046666.0,231902962.0
2017-09-03,21.04,21.7,21.49,21.04,12028939.0,257941037.0
2017-09-10,21.43,21.99,21.56,20.92,15016431.0,321887710.0
2017-09-17,21.56,23.19,23.0,21.37,17450079.0,389231543.0
2017-09-24,23.0,25.0,23.41,23.0,23605105.0,569081237.0
2017-10-01,23.31,23.5,22.94,22.38,8133961.0,185979739.0
2017-10-15,23.09,23.95,22.88,22.6,9883983.0,230339050.0
2017-10-22,22.88,22.91,21.8,21.23,6606987.0,145450608.0
2017-10-29,21.4,23.39,22.52,21.3,13958038.0,312741893.0
2017-11-05,22.01,22.21,20.38,20.26,8326803.0,175805569.0
2017-11-12,20.55,21.04,20.99,20.01,5256633.0,108859529.0
2017-11-19,20.99,21.04,19.03,19.01,6252108.0,126530330.0
2017-11-26,18.99,19.49,18.92,18.73,4365602.0,83476637.0
2017-12-03,19.05,19.58,19.38,18.92,3657458.0,70653693.0
2017-12-10,19.48,19.48,18.83,18.08,3862010.0,72500156.0
