date,open,high,close,low,volume,amount
2017-06-11,8.48,11.19,11.19,8.48,15634.0,151365.0
2017-06-18,12.31,18.03,18.03,12.31,72594.0,1061065.0
2017-06-25,19.83,29.04,27.87,19.83,30882203.0,805512977.0
2017-07-02,30.0,30.84,27.27,26.13,118874128.0,3176488749.0
2017-07-09,27.05,30.94,28.61,25.68,96086860.0,2557366626.0
2017-07-16,27.74,28.0,23.79,23.66,47814581.0,1128813590.0
2017-07-23,23.42,23.42,20.89,20.77,25222138.0,508600099.0
2017-07-30,20.77,22.55,21.57,20.51,20648708.0,411685380.0
2017-08-06,21.58,22.12,20.79,20.77,14056665.0,278188641.0
2017-08-13,20.83,21.12,18.2,18.15,10804874.0,205551997.0
2017-08-20,18.2,20.97,20.31,18.18,21463893.0,423997911.0
2017-08-27,20.01,22.6,21.78,19.84,42010715.0,904729366.0
2017-09-03,22.25,23.84,22.92,21.8,44111149.0,1002658612.0
2017-09-10,22.71,24.19,22.3,22.07,30165061.0,700194723.0
2017-09-17,22.47,22.75,22.46,21.68,15317512.0,340928294.0
2017-09-24,22.2,23.48,23.29,22.06,15007405.0,343458466.0
2017-10-01,23.21,23.79,23.4,22.1,14228773.0,329799599.0
2017-10-15,23.67,25.1,24.83,23.17,15174428.0,365510012.0
2017-10-22,24.84,27.66,26.35,24.2,27969097.0,726021560.0
2017-10-29,26.27,26.99,26.45,25.35,21312672.0,557778267.0
2017-11-05,26.05,26.55,26.1,24.58,11660227.0,299034911.0
2017-11-12,26.32,28.76,26.98,24.67,20172870.0,548473549.0
2017-11-19,26.98,27.25,25.04,24.57,10942390.0,284182085.0
2017-11-26,25.0,25.57,25.45,22.62,6671715.0,164538850.0
2017-12-03,25.05,25.96,25.69,24.5,6247803.0,157080459.0
2017-12-10,25.61,25.64,25.25,24.56,5512068.0,138360402.0
