date,open,high,close,low,volume,amount
2014-12-28,2.8,2.88,2.8,2.74,32186546.0,229674320.0
2015-01-04,2.8,2.8,2.59,2.56,20165674.0,135714796.0
2015-01-11,2.6,2.67,2.62,2.56,19222207.0,127981104.0
2015-01-18,2.63,2.63,2.6,2.51,15263218.0,98883374.0
2015-01-25,2.58,2.72,2.68,2.51,25142384.0,168901236.0
2015-02-01,2.68,2.82,2.73,2.67,23530432.0,163514450.0
2015-02-08,2.72,2.84,2.68,2.64,19414960.0,135867766.0
2015-02-15,2.67,2.75,2.74,2.57,15077158.0,101508486.0
2015-02-22,2.74,2.96,2.85,2.74,26208216.0,190492272.0
2015-03-01,2.85,2.91,2.87,2.8,19886881.0,144217104.0
2015-03-08,2.88,3.06,2.98,2.86,44693470.0,334303968.0
2015-03-15,2.98,3.12,3.04,2.92,32655258.0,248783000.0
2015-03-22,3.05,3.55,3.47,3.05,71555839.0,600480480.0
2015-03-29,3.55,3.63,3.53,3.46,60164540.0,538024584.0
2015-04-05,3.53,4.18,4.08,3.53,74741911.0,715868096.0
2015-04-12,4.11,4.28,4.13,3.81,62940054.0,649941368.0
2015-04-19,4.11,4.49,4.28,3.99,68777775.0,742823128.0
2015-04-26,4.31,7.4,7.09,4.13,139530784.0,1255996064.0
2015-05-03,7.12,8.05,7.84,7.05,111170934.0,1114455632.0
2015-05-10,7.86,7.95,6.83,6.44,85249831.0,800598576.0
2015-05-17,7.02,8.05,7.75,6.83,130110160.0,1302243904.0
2015-05-24,7.67,10.17,9.83,7.58,162620388.0,1867862240.0
2015-05-31,9.85,11.26,11.26,9.64,103460056.0,1407326048.0
2015-06-07,12.39,12.39,11.15,10.79,61790920.0,946409664.0
2015-06-14,10.75,10.83,10.75,9.45,167840550.0,2274589824.0
2015-06-21,10.78,11.5,8.81,8.81,121276686.0,1646659456.0
2015-06-28,8.58,9.44,7.99,7.97,75510574.0,866318080.0
2015-07-05,8.32,8.33,5.79,5.78,103288084.0,957789824.0
2015-07-12,6.37,6.37,6.07,4.41,96055446.0,660899928.0
2015-07-19,6.67,7.82,7.78,6.37,128532640.0,1184552960.0
2015-07-26,7.89,7.9,7.31,7.18,85539877.0,850863200.0
2015-08-02,7.12,7.18,6.2,5.93,62969748.0,538798772.0
2015-08-09,6.14,6.9,6.69,5.7,45548603.0,388679188.0
2015-08-16,6.77,7.25,7.12,6.72,52935527.0,490173024.0
2015-08-23,7.07,7.4,5.97,4.34,81292361.0,717414280.0
2015-08-30,4.22,4.22,3.89,3.35,49398818.0,328720180.0
2015-09-06,3.9,3.9,3.39,3.32,26629341.0,174004512.0
2015-09-13,3.49,3.91,3.85,3.41,37008562.0,246244520.0
2015-09-20,3.89,3.96,3.49,3.26,39927398.0,252959616.0
2015-09-27,3.46,4.23,3.76,3.43,114315242.0,820256920.0
2015-10-04,3.79,3.95,3.87,3.71,22752546.0,156368376.0
2015-10-11,4.04,4.12,4.06,3.94,22027958.0,159220496.0
2015-10-18,4.13,4.55,4.44,4.08,80474321.0,622836016.0
2015-10-25,4.55,4.65,4.45,4.12,76507821.0,606969744.0
2015-11-01,4.53,4.58,4.46,4.13,58383423.0,465738816.0
2015-11-08,4.35,4.99,4.78,4.21,78362436.0,657306240.0
2015-11-15,4.69,5.07,4.86,4.63,64492439.0,564466616.0
2015-11-22,4.77,5.3,5.09,4.7,53309771.0,480673812.0
2015-11-29,5.13,5.2,4.56,4.52,57872466.0,519241824.0
2015-12-06,4.56,4.86,4.76,4.36,47069361.0,394076904.0
2015-12-13,4.78,5.45,5.02,4.75,109285881.0,1004043664.0
2015-12-20,4.91,5.18,5.07,4.85,58567721.0,531297560.0
2015-12-27,5.44,5.75,5.62,5.4,59311959.0,552424936.0
2016-01-03,5.62,5.98,5.66,5.52,61539312.0,590816264.0
2016-01-10,5.63,5.68,4.78,4.44,47026077.0,395851474.0
2016-01-17,4.74,4.75,4.39,4.21,37347463.0,278427396.0
2016-01-24,4.35,4.76,4.5,4.33,33154808.0,253473456.0
2016-01-31,4.5,4.6,4.07,3.84,24702836.0,173542840.0
2016-02-07,4.07,4.3,4.2,3.97,19418930.0,134886526.0
2016-02-21,4.13,4.5,4.44,4.07,25625881.0,187566874.0
2016-02-28,4.48,4.57,4.12,4.02,24455268.0,177449028.0
2016-03-06,4.13,4.39,4.3,3.84,32328602.0,224029822.0
2016-03-13,4.29,4.39,4.07,4.02,21663683.0,153844436.0
2016-03-20,4.1,4.55,4.53,4.1,27534780.0,198994112.0
2016-03-27,4.53,4.66,4.62,4.46,30265335.0,229843320.0
2016-04-03,4.88,5.01,4.93,4.64,52819517.0,427268828.0
2016-04-10,4.94,5.08,4.96,4.89,27459280.0,228827676.0
2016-04-17,4.98,5.27,5.18,4.98,32588148.0,279049764.0
2016-04-24,4.59,4.59,4.36,4.22,23602914.0,196420030.0
2016-05-01,4.37,4.46,4.4,4.29,15495428.0,127388346.0
2016-05-08,4.41,4.76,4.52,4.38,32453563.0,279269104.0
2016-05-15,4.47,4.49,4.42,3.97,40218843.0,242821804.0
2016-05-22,4.67,4.99,4.52,4.32,166425802.0,969973156.0
2016-05-29,4.54,4.87,4.6,4.45,78773133.0,459538271.0
2016-06-05,4.51,4.71,4.63,4.43,64385026.0,366588223.0
2016-06-12,4.66,4.87,4.67,4.59,55627394.0,327823496.0
2016-06-19,4.6,4.6,4.43,4.24,45792428.0,251920061.0
2016-06-26,4.43,4.5,4.37,4.23,30752246.0,168673769.0
2016-07-03,4.31,5.16,4.98,4.3,104839421.0,625216237.0
2016-07-10,5.0,5.48,5.3,4.96,142409965.0,920515236.0
2016-07-17,5.27,5.91,5.71,5.06,108762341.0,732965395.0
2016-07-24,5.72,5.84,5.41,5.25,77129801.0,534052483.0
2016-07-31,5.44,5.49,5.02,4.97,65150230.0,424330508.0
2016-08-07,4.97,5.13,5.0,4.96,40780569.0,254907147.0
2016-08-14,4.96,5.17,5.08,4.92,35967602.0,226496098.0
2016-08-21,4.96,5.29,5.15,4.94,59952855.0,389219800.0
2016-08-28,5.15,5.21,4.96,4.88,28481472.0,182825939.0
2016-09-04,4.94,5.31,5.11,4.92,39559306.0,258175885.0
2016-09-11,5.14,5.23,5.1,5.02,32908831.0,214090933.0
2016-09-18,4.97,5.07,4.95,4.91,12944252.0,81806679.0
2016-09-25,4.96,5.22,5.17,4.96,37120810.0,242026084.0
2016-10-02,5.17,5.35,5.15,5.07,66736372.0,442918152.0
2016-10-16,5.18,5.5,5.36,5.18,68989164.0,468511385.0
2016-10-23,5.38,5.4,5.27,5.17,42279408.0,283994007.0
2016-10-30,5.27,5.84,5.62,5.25,87226862.0,617092714.0
2016-11-06,5.62,5.78,5.67,5.44,64085572.0,455442494.0
2016-11-13,5.63,6.12,5.86,5.63,95126832.0,716866349.0
2016-11-20,5.84,6.04,5.75,5.74,55015417.0,409657002.0
2016-11-27,5.75,6.08,5.64,5.53,77438835.0,575490727.0
2016-12-04,5.63,5.69,5.36,5.3,46013386.0,320382158.0
2016-12-11,5.26,5.45,5.38,5.23,28936441.0,196940010.0
2016-12-18,5.4,5.44,5.39,4.97,34746533.0,225884367.0
2016-12-25,5.4,5.53,5.37,5.33,20157151.0,132995071.0
2017-01-01,5.37,5.6,5.51,5.28,19487317.0,130040367.0
2017-01-08,5.52,5.97,5.8,5.52,34511031.0,243239544.0
2017-01-15,5.81,5.96,5.67,5.64,27902079.0,196680786.0
2017-01-22,5.6,5.68,5.62,5.33,23853568.0,161370123.0
2017-01-29,5.64,5.8,5.79,5.6,14231439.0,98430913.0
2017-02-05,5.79,5.79,5.65,5.64,6344226.0,43743736.0
2017-02-12,5.65,5.87,5.84,5.58,32215889.0,223869573.0
2017-02-19,5.86,6.02,5.82,5.8,42914875.0,307128910.0
2017-02-26,5.8,6.07,5.96,5.8,36333511.0,262447587.0
2017-03-05,5.96,5.96,5.79,5.76,22476922.0,159917134.0
2017-03-12,5.8,5.95,5.82,5.76,23595195.0,167957153.0
2017-03-19,5.84,6.02,5.9,5.8,33971106.0,244910861.0
2017-03-26,5.89,6.24,6.16,5.89,63353656.0,470716138.0
2017-04-02,6.16,6.2,5.88,5.84,35067497.0,256535559.0
2017-04-09,5.92,6.05,5.93,5.9,14301333.0,103613102.0
2017-04-16,5.92,5.95,4.94,4.9,36844221.0,260340304.0
2017-04-23,4.91,4.97,4.77,4.72,18910246.0,128955898.0
2017-04-30,4.77,4.8,4.79,4.58,14541332.0,95284065.0
2017-05-07,4.82,4.96,4.89,4.76,10673149.0,72342994.0
2017-05-14,4.89,4.93,4.56,4.41,13876752.0,84234197.0
2017-05-21,4.58,4.91,4.87,4.57,13483317.0,74455056.0
2017-05-28,4.84,4.95,4.82,4.56,17159589.0,95928181.0
2017-06-04,4.85,4.88,4.67,4.56,7947750.0,43409520.0
2017-06-11,4.67,4.85,4.77,4.67,7611672.0,42118490.0
2017-06-18,4.71,4.77,4.73,4.67,6992756.0,38276618.0
2017-06-25,4.74,4.74,4.62,4.57,10746209.0,58399715.0
2017-07-02,4.62,4.65,4.58,4.46,17037543.0,90100166.0
2017-07-09,4.57,4.59,4.58,4.52,10048485.0,53218725.0
2017-07-16,4.59,4.87,4.72,4.59,20818184.0,113730577.0
2017-07-23,4.73,4.73,4.49,4.4,17085763.0,89479916.0
2017-07-30,4.47,4.61,4.58,4.46,14944550.0,78407801.0
2017-08-06,4.6,4.79,4.61,4.49,17095984.0,91107230.0
2017-08-13,4.56,5.36,5.3,4.55,18233331.0,97157674.0
2017-08-20,5.32,5.45,5.41,5.28,19621299.0,104905565.0
2017-08-27,5.42,5.44,5.39,5.31,13891634.0,74701421.0
2017-09-03,5.43,5.43,5.4,5.29,20513009.0,110031929.0
2017-09-10,5.43,5.47,5.4,5.37,19084772.0,103204415.0
2017-09-17,5.39,5.58,5.5,5.38,28050227.0,153955893.0
2017-09-24,5.5,5.94,5.82,5.47,49743056.0,288181046.0
2017-10-01,5.86,6.23,6.12,5.58,44757868.0,266977895.0
2017-10-15,6.12,6.2,6.08,6.0,24437782.0,148595545.0
2017-10-22,6.08,6.25,5.83,5.71,27714860.0,164983935.0
2017-10-29,5.83,6.05,5.97,5.76,18416832.0,108748648.0
2017-11-05,5.97,6.07,5.8,5.68,24718693.0,145561544.0
2017-11-12,5.83,5.84,5.68,5.59,19996135.0,114298436.0
2017-11-19,5.6,5.78,5.48,5.47,16925219.0,94822774.0
2017-11-26,5.48,5.52,5.3,5.2,14279751.0,76359481.0
2017-12-03,5.3,5.53,5.4,5.18,14359105.0,76515671.0
2017-12-10,5.4,5.42,5.27,5.1,12738119.0,66941757.0
