date,open,high,close,low,volume,amount
2014-12-28,4.57,4.64,4.63,4.54,8046502.0,113503196.0
2015-01-04,4.62,4.63,4.57,4.4,9040928.0,125760092.0
2015-01-11,4.58,4.74,4.57,4.5,15103808.0,215234866.0
2015-01-18,4.57,4.71,4.69,4.43,11335890.0,159012964.0
2015-01-25,4.62,4.91,4.83,4.53,19511756.0,286591188.0
2015-02-01,4.83,5.02,4.87,4.83,17145486.0,258409156.0
2015-02-08,4.84,5.37,5.03,4.78,41193621.0,643868636.0
2015-02-15,5.04,5.87,5.76,4.86,60010479.0,989073484.0
2015-02-22,5.69,6.33,6.01,5.69,30104867.0,560367808.0
2015-03-01,6.04,6.1,5.93,5.73,32727703.0,591041408.0
2015-03-08,5.86,6.23,5.82,5.54,52558416.0,964699440.0
2015-03-15,5.81,5.99,5.82,5.63,25551748.0,456090032.0
2015-03-22,5.86,6.42,6.29,5.85,42342833.0,792545432.0
2015-03-29,6.31,8.67,8.18,6.31,68597071.0,1669753180.0
2015-04-05,8.03,8.38,8.21,7.41,62669768.0,1547784704.0
2015-04-12,8.21,8.65,7.91,7.45,38250253.0,953453792.0
2015-04-19,7.93,8.23,7.72,7.39,26933964.0,648626984.0
2015-04-26,7.78,8.54,8.29,7.44,50222813.0,1245146096.0
2015-05-03,8.37,8.52,8.08,7.65,26694118.0,662398896.0
2015-05-10,8.02,9.83,9.77,7.96,58382190.0,1577910608.0
2015-05-17,9.7,10.08,9.57,9.02,50899732.0,1494255744.0
2015-05-24,9.64,12.89,12.89,9.54,47181947.0,1602953344.0
2015-05-31,12.54,13.87,12.24,11.29,45034505.0,1751827136.0
2015-06-07,12.47,14.34,13.07,12.19,48556814.0,1961850560.0
2015-06-14,13.17,13.62,13.43,12.25,52209076.0,1670271712.0
2015-06-21,13.4,14.28,11.37,11.37,50513871.0,1533821648.0
2015-06-28,11.28,12.12,10.11,10.11,34491146.0,898679952.0
2015-11-15,11.29,11.9,10.81,10.72,76655156.0,1932161472.0
2015-11-22,10.79,11.33,11.11,10.02,73923293.0,1774289920.0
2015-11-29,11.16,12.22,10.28,10.28,89902268.0,2273765216.0
2015-12-06,10.27,10.91,10.5,9.47,40321804.0,914399080.0
2015-12-13,10.61,10.92,9.55,9.51,34191959.0,768991632.0
2015-12-20,9.51,10.72,10.32,9.45,35089981.0,793251792.0
2015-12-27,13.03,14.09,13.93,12.67,40160761.0,933938376.0
2016-01-03,14.15,14.15,12.77,12.77,29935589.0,693535464.0
2016-01-10,12.77,12.88,10.23,9.5,27162203.0,517701124.0
2016-01-17,9.98,10.05,8.44,8.3,23611221.0,374873320.0
2016-01-24,8.21,9.81,9.81,8.13,42439767.0,672952456.0
2016-01-31,9.85,9.98,8.33,7.8,41076250.0,639310968.0
2016-02-07,8.24,8.86,8.65,7.95,26470476.0,393491568.0
2016-02-21,8.24,10.06,9.69,8.17,42085959.0,688222092.0
2016-02-28,9.85,10.24,8.78,8.46,35478539.0,586438488.0
2016-03-06,8.69,9.39,8.51,7.96,38913383.0,589626672.0
2016-03-13,8.62,9.09,8.52,8.11,24958049.0,374708488.0
2016-03-20,8.67,10.01,9.9,8.55,50081787.0,810874072.0
2016-03-27,10.05,11.68,10.98,9.82,78782941.0,1470964096.0
2016-04-03,11.05,11.66,11.26,10.36,47089992.0,901342000.0
2016-04-10,11.28,12.02,10.67,10.27,63180782.0,1223299600.0
2016-04-17,10.7,11.09,10.53,10.34,42623478.0,782582840.0
2016-04-24,10.71,10.99,10.3,9.86,34038632.0,598984480.0
2016-05-01,10.57,10.66,10.36,10.11,23971485.0,417207348.0
2016-05-08,10.36,11.53,11.09,10.35,36066487.0,665747048.0
2016-05-15,10.75,10.85,9.53,9.33,22516906.0,381018899.0
