date,open,high,close,low,volume,amount
2015-12-13,6.53,7.9,7.9,6.53,37915.0,469882.0
2015-12-20,8.7,12.74,12.74,8.7,144000.0,2862261.0
2015-12-27,15.31,22.42,22.42,15.31,862749.0,27122864.0
2016-01-03,24.66,32.82,31.54,24.66,31284304.0,1589065766.0
2016-01-10,29.26,44.89,41.32,29.26,98956127.0,6104800811.0
2016-01-17,37.19,37.19,27.31,27.31,71813131.0,3646490868.0
2016-01-24,24.9,28.5,26.16,23.78,81339841.0,3495449517.0
2016-01-31,26.94,27.33,23.58,22.53,69236972.0,2784409003.0
2016-02-07,23.33,26.69,24.86,22.46,45678589.0,1824555868.0
2016-02-21,22.95,28.12,26.99,22.95,54953335.0,2345589906.0
2016-02-28,27.57,29.21,23.21,22.64,48217641.0,2097291500.0
2016-03-06,22.81,23.13,19.83,19.68,34402559.0,1196750422.0
2016-03-13,20.3,21.96,20.5,18.94,28505021.0,950664103.0
2016-03-20,21.08,23.11,22.97,20.31,36066428.0,1260124931.0
2016-03-27,23.25,24.45,22.68,22.2,38528346.0,1463412212.0
2016-04-03,22.79,23.22,21.64,20.79,25618696.0,914018982.0
2016-04-10,21.83,23.54,22.08,21.53,26180945.0,958842305.0
2016-04-17,22.13,26.87,25.33,22.13,53110317.0,2105450817.0
2016-04-24,33.35,33.35,29.29,27.97,30382437.0,1144367697.0
2016-05-01,28.99,29.99,28.34,28.06,20105763.0,713772199.0
2016-05-08,28.35,32.2,29.33,28.1,24742625.0,926599904.0
2016-05-15,28.69,31.65,28.48,27.77,15589832.0,578216292.0
2016-05-22,25.63,28.5,24.01,22.88,48173282.0,1494224721.0
2016-05-29,24.35,27.12,26.28,24.11,39724090.0,1260047738.0
2016-06-05,25.75,34.92,32.96,25.24,52191524.0,1916295210.0
2016-06-12,33.55,38.82,36.28,32.17,36535425.0,1575811998.0
2016-06-19,34.69,39.83,39.83,30.47,59215805.0,2562887245.0
2016-06-26,40.64,43.65,40.33,36.52,65451471.0,3259588598.0
